Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2021-06-27 18:50:00,18:50:00,JPY,Low,BOJ Summary of Opinions,,,,
2021-06-28 01:00:00,01:00:00,EUR,Low,German Import Prices m/m,,1.7%,1.3%,1.4%
2021-06-28 07:00:00,07:00:00,EUR,Low,German Buba President Weidmann Speaks,,,,
2021-06-28 07:00:00,,GBP,Low,MPC Member Haldane Speaks,,,,
2021-06-28 08:00:00,08:00:00,USD,Low,FOMC Member Williams Speaks,,,,
2021-06-28 11:00:00,11:00:00,USD,Low,FOMC Member Barkin Speaks,,,,
2021-06-28 12:10:00,12:10:00,USD,Low,FOMC Member Quarles Speaks,,,,
2021-06-28 18:30:00,18:30:00,JPY,Low,Unemployment Rate,,3.0%,2.9%,2.8%
2021-06-28 18:50:00,18:50:00,JPY,Low,Retail Sales y/y,,8.2%,8.2%,11.9%
2021-06-28 21:00:00,21:00:00,NZD,Medium,RBNZ Statement of Intent,,,,
2021-06-28 23:10:00,23:10:00,NZD,High,RBNZ Gov Orr Speaks,,,,
2021-06-29 01:00:00,01:00:00,GBP,Low,Nationwide HPI m/m,,0.7%,0.7%,1.7%
2021-06-29 00:00:00,00:00:00,EUR,Low,German Prelim CPI m/m,,0.4%,0.4%,0.5%
2021-06-29 02:00:00,02:00:00,EUR,Low,Spanish Flash CPI y/y,,2.6%,2.7%,2.7%
2021-06-29 00:00:00,00:00:00,EUR,Non,Italian Bank Holiday,,,,
2021-06-29 03:30:00,03:30:00,GBP,Low,M4 Money Supply m/m,,0.4%,0.2%,0.1%
2021-06-29 03:30:00,,GBP,Low,Mortgage Approvals,,88K,86K,87K
2021-06-29 03:30:00,,GBP,Low,Net Lending to Individuals m/m,,6.9B,4.6B,2.8B
2021-06-29 08:00:00,08:00:00,USD,Low,FOMC Member Barkin Speaks,,,,
2021-06-29 08:00:00,,USD,Low,HPI m/m,,1.8%,1.5%,1.6%
2021-06-29 08:00:00,,USD,Low,S&P/CS Composite-20 HPI y/y,,14.9%,14.8%,13.4%
2021-06-29 08:40:00,08:40:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2021-06-29 09:00:00,09:00:00,USD,Medium,CB Consumer Confidence,,127.3,118.9,120.0
2021-06-29 11:00:00,11:00:00,EUR,Low,German Buba President Weidmann Speaks,,,,
2021-06-29 18:01:00,18:01:00,GBP,Low,BRC Shop Price Index y/y,,-0.7%,,-0.6%
2021-06-29 18:50:00,18:50:00,JPY,Low,Prelim Industrial Production m/m,,-5.9%,-2.1%,2.9%
2021-06-29 20:00:00,20:00:00,CNY,Medium,Manufacturing PMI,,50.9,50.9,51.0
2021-06-29 20:00:00,,CNY,Low,Non-Manufacturing PMI,,53.5,55.3,55.2
2021-06-29 20:00:00,,NZD,Low,ANZ Business Confidence,,-0.6,,-0.4
2021-06-29 20:30:00,20:30:00,AUD,Low,Private Sector Credit m/m,,0.4%,0.3%,0.3%
2021-06-29 23:59:00,23:59:00,JPY,Low,Consumer Confidence,,37.4,34.8,34.1
2021-06-30 00:00:00,00:00:00,JPY,Low,Housing Starts y/y,,9.9%,8.4%,7.1%
2021-06-30 01:00:00,01:00:00,GBP,Low,Current Account,,-12.8B,-13.9B,-26.3B
2021-06-30 01:00:00,,GBP,Low,Final GDP q/q,,-1.6%,-1.5%,-1.5%
2021-06-30 01:00:00,,GBP,Low,Revised Business Investment q/q,,-10.7%,-11.9%,-11.9%
2021-06-30 01:45:00,01:45:00,EUR,Low,French Consumer Spending m/m,,10.4%,7.4%,-8.7%
2021-06-30 01:45:00,,EUR,Low,French Prelim CPI m/m,,0.2%,0.2%,0.3%
2021-06-30 02:00:00,02:00:00,CHF,Low,KOF Economic Barometer,,133.4,144.9,143.7
2021-06-30 02:55:00,02:55:00,EUR,Low,German Unemployment Change,,-38K,-20K,-19K
2021-06-30 03:00:00,03:00:00,CHF,Low,UBS Economic Expectations,,51.3,,72.2
2021-06-30 04:00:00,04:00:00,EUR,Medium,CPI Flash Estimate y/y,,1.9%,1.9%,2.0%
2021-06-30 04:00:00,,EUR,Low,Core CPI Flash Estimate y/y,,0.9%,0.9%,1.0%
2021-06-30 04:00:00,,EUR,Low,Italian Prelim CPI m/m,,0.1%,0.2%,0.0%
2021-06-30 04:15:00,04:15:00,EUR,Low,Italian 10-y Bond Auction,,0.74|1.6,,0.94|1.3
2021-06-30 06:00:00,06:00:00,GBP,Low,MPC Member Haldane Speaks,,,,
2021-06-30 07:00:00,07:00:00,USD,Low,FOMC Member Bostic Speaks,,,,
2021-06-30 07:15:00,07:15:00,USD,Medium,ADP Non-Farm Employment Change,,692K,555K,886K
2021-06-30 07:30:00,07:30:00,CAD,Medium,GDP m/m,,-0.3%,-0.8%,1.3%
2021-06-30 07:30:00,,CAD,Low,IPPI m/m,,2.7%,3.0%,1.8%
2021-06-30 07:30:00,,CAD,Low,RMPI m/m,,3.2%,2.1%,1.0%
2021-06-30 08:45:00,08:45:00,USD,Medium,Chicago PMI,,66.1,70.2,75.2
2021-06-30 09:00:00,09:00:00,USD,Medium,Pending Home Sales m/m,,8.0%,-1.1%,-4.4%
2021-06-30 09:30:00,09:30:00,USD,Medium,Crude Oil Inventories,,-6.7M,-4.2M,-7.6M
2021-06-30 12:00:00,12:00:00,USD,Low,FOMC Member Barkin Speaks,,,,
2021-06-30 17:30:00,17:30:00,AUD,Low,AIG Manufacturing Index,,63.2,,61.8
2021-06-30 17:45:00,17:45:00,NZD,Low,Building Consents m/m,,-2.8%,,5.1%
2021-06-30 18:50:00,18:50:00,JPY,Low,Tankan Manufacturing Index,,14,16,5
2021-06-30 18:50:00,,JPY,Low,Tankan Non-Manufacturing Index,,1,3,-1
2021-06-30 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,52.4,51.5,51.5
2021-06-30 20:30:00,20:30:00,AUD,Low,Goods Trade Balance,,9.68B,10.50B,8.16B
2021-06-30 20:45:00,20:45:00,CNY,Low,Caixin Manufacturing PMI,,51.3,51.8,52.0
2021-06-30 22:35:00,22:35:00,JPY,Low,10-y Bond Auction,,0.06|3.5,,0.08|2.9
2021-07-01 01:00:00,01:00:00,EUR,Low,German Retail Sales m/m,,4.2%,4.5%,-6.8%
2021-07-01 01:30:00,01:30:00,AUD,Low,Commodity Prices y/y,,49.1%,,40.7%
2021-07-01 01:30:00,,CHF,Low,CPI m/m,,0.1%,0.2%,0.3%
2021-07-01 01:30:00,,CHF,Low,Retail Sales y/y,,2.8%,17.5%,37.7%
2021-07-01 02:00:00,02:00:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2021-07-01 02:15:00,02:15:00,EUR,Low,Spanish Manufacturing PMI,,60.4,59.6,59.4
2021-07-01 02:30:00,02:30:00,CHF,Low,Manufacturing PMI,,66.7,69.4,69.9
2021-07-01 02:45:00,02:45:00,EUR,Low,Italian Manufacturing PMI,,62.2,62.3,62.3
2021-07-01 02:50:00,02:50:00,EUR,Low,French Final Manufacturing PMI,,59.0,58.6,58.6
2021-07-01 02:55:00,02:55:00,EUR,Medium,German Final Manufacturing PMI,,65.1,64.9,64.9
2021-07-01 03:00:00,03:00:00,EUR,Low,Final Manufacturing PMI,,63.4,63.1,63.1
2021-07-01 03:00:00,,EUR,Low,Italian Monthly Unemployment Rate,,10.5%,10.7%,10.7%
2021-07-01 03:00:00,,GBP,High,BOE Gov Bailey Speaks,,,,
2021-07-01 03:30:00,03:30:00,GBP,Medium,Final Manufacturing PMI,,63.9,64.2,64.2
2021-07-01 04:00:00,04:00:00,EUR,Low,Unemployment Rate,,7.9%,8.0%,8.1%
2021-07-01 04:00:00,,GBP,Medium,BOE Gov Bailey Speaks,,,,
2021-07-01 04:02:00,04:02:00,EUR,Low,French 10-y Bond Auction,,0.13|2.1,,0.16|2.0
2021-07-01 00:00:00,00:00:00,All,High,OPEC-JMMC Meetings,,,,
2021-07-01 06:30:00,06:30:00,USD,Low,Challenger Job Cuts y/y,,-88.0%,,-93.8%
2021-07-01 00:00:00,00:00:00,CAD,Non,Bank Holiday,,,,
2021-07-01 07:30:00,07:30:00,USD,Medium,Unemployment Claims,,364K,388K,415K
2021-07-01 08:45:00,08:45:00,USD,Low,Final Manufacturing PMI,,62.1,62.6,62.6
2021-07-01 09:00:00,09:00:00,USD,High,ISM Manufacturing PMI,,60.6,61.0,61.2
2021-07-01 09:00:00,,USD,Low,Construction Spending m/m,,-0.3%,0.4%,0.1%
2021-07-01 09:00:00,,USD,Low,ISM Manufacturing Prices,,92.1,86.0,88.0
2021-07-01 00:00:00,00:00:00,USD,Low,Wards Total Vehicle Sales,,15.4M,16.9M,17.0M
2021-07-01 09:30:00,09:30:00,USD,Low,Natural Gas Storage,,76B,68B,55B
2021-07-01 18:50:00,18:50:00,JPY,Low,Monetary Base y/y,,19.1%,24.3%,22.4%
2021-07-02 01:45:00,01:45:00,EUR,Low,French Gov Budget Balance,,-118.8B,,-91.4B
2021-07-02 02:00:00,02:00:00,EUR,Medium,Spanish Unemployment Change,,-166.9K,-110.5K,-129.4K
2021-07-02 04:00:00,04:00:00,EUR,Low,PPI m/m,,1.3%,1.2%,0.9%
2021-07-02 00:00:00,00:00:00,All,High,OPEC-JMMC Meetings,,,,
2021-07-02 07:30:00,07:30:00,CAD,Low,Building Permits m/m,,-14.8%,0.3%,0.2%
2021-07-02 07:30:00,,CAD,Low,Trade Balance,,-1.4B,0.4B,0.5B
2021-07-02 07:30:00,,EUR,Medium,ECB President Lagarde Speaks,,,,
2021-07-02 07:30:00,,USD,High,Average Hourly Earnings m/m,,0.3%,0.3%,0.4%
2021-07-02 07:30:00,,USD,High,Non-Farm Employment Change,,850K,725K,583K
