Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2023-06-27 03:00:00,03:00:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2023-06-27 03:15:00,03:15:00,GBP,Low,MPC Member Dhingra Speaks,,,,
2023-06-27 03:30:00,03:30:00,GBP,Low,MPC Member Tenreyro Speaks,,,,
2023-06-27 04:30:00,04:30:00,CAD,Low,Gov Council Member Kozicki Speaks,,,,
2023-06-27 07:30:00,07:30:00,CAD,High,CPI m/m,,0.4%,0.4%,0.7%
2023-06-27 07:30:00,,CAD,High,Median CPI y/y,,3.9%,4.0%,4.3%
2023-06-27 07:30:00,,CAD,High,Trimmed CPI y/y,,3.8%,3.9%,4.2%
2023-06-27 07:30:00,,CAD,Medium,Common CPI y/y,,5.2%,5.4%,5.7%
2023-06-27 07:30:00,,USD,Medium,Core Durable Goods Orders m/m,,0.6%,0.0%,-0.3%
2023-06-27 07:30:00,,USD,Medium,Durable Goods Orders m/m,,1.7%,-0.8%,1.2%
2023-06-27 07:32:00,07:32:00,CAD,Low,Core CPI m/m,,0.4%,,0.5%
2023-06-27 08:00:00,08:00:00,CNY,Low,CB Leading Index m/m,,-0.1%,,-0.6%
2023-06-27 08:00:00,,USD,Low,HPI m/m,,0.7%,0.5%,0.5%
2023-06-27 08:00:00,,USD,Low,S&P/CS Composite-20 HPI y/y,,-1.7%,-2.5%,-1.1%
2023-06-27 08:59:00,08:59:00,USD,Medium,Richmond Manufacturing Index,,-7,-12,-15
2023-06-27 09:00:00,09:00:00,USD,High,CB Consumer Confidence,,109.7,103.9,102.5
2023-06-27 09:00:00,,USD,Medium,New Home Sales,,763K,677K,680K
2023-06-27 20:30:00,20:30:00,AUD,High,CPI y/y,,5.6%,6.1%,6.8%
2023-06-28 01:00:00,01:00:00,EUR,Low,German GfK Consumer Climate,,-25.4,-22.9,-24.4
2023-06-28 03:00:00,03:00:00,CHF,Low,UBS Economic Expectations,,-30.8,,-32.2
2023-06-28 03:00:00,,EUR,Low,M3 Money Supply y/y,,1.4%,1.5%,1.9%
2023-06-28 03:00:00,,EUR,Low,Private Loans y/y,,2.1%,2.3%,2.5%
2023-06-28 04:00:00,04:00:00,EUR,Low,Italian Prelim CPI m/m,,0.0%,0.3%,0.3%
2023-06-28 05:30:00,05:30:00,GBP,Low,MPC Member Pill Speaks,,,,
2023-06-28 07:30:00,07:30:00,USD,Low,Goods Trade Balance,,-91.1B,-93.3B,-97.1B
2023-06-28 07:30:00,,USD,Low,Prelim Wholesale Inventories m/m,,-0.1%,-0.1%,-0.1%
2023-06-28 08:00:00,08:00:00,CHF,Low,SNB Quarterly Bulletin,,,,
2023-06-28 08:30:00,08:30:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2023-06-28 08:30:00,,GBP,High,BOE Gov Bailey Speaks,,,,
2023-06-28 08:30:00,,JPY,High,BOJ Gov Ueda Speaks,,,,
2023-06-28 08:30:00,,USD,High,Fed Chair Powell Speaks,,,,
2023-06-28 09:30:00,09:30:00,USD,Low,Crude Oil Inventories,,-9.6M,-1.4M,-3.8M
2023-06-28 10:00:00,10:00:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2023-06-28 15:30:00,15:30:00,USD,Low,Bank Stress Test Results,,,,
2023-06-28 18:50:00,18:50:00,JPY,Low,Retail Sales y/y,,5.7%,5.2%,5.1%
2023-06-28 20:00:00,20:00:00,NZD,Low,ANZ Business Confidence,,-18.0,,-31.1
2023-06-28 20:30:00,20:30:00,AUD,Low,Retail Sales m/m,,0.7%,0.1%,0.0%
2023-06-28 23:59:00,23:59:00,JPY,Low,Consumer Confidence,,36.2,36.2,36.0
2023-06-29 00:00:00,00:00:00,EUR,High,German Prelim CPI m/m,,0.3%,0.2%,-0.1%
2023-06-29 01:30:00,01:30:00,USD,High,Fed Chair Powell Speaks,,,,
2023-06-29 02:00:00,02:00:00,EUR,Medium,Spanish Flash CPI y/y,,1.9%,1.7%,3.2%
2023-06-29 00:00:00,00:00:00,EUR,Non,Italian Bank Holiday,,,,
2023-06-29 03:00:00,03:00:00,EUR,Low,ECB Economic Bulletin,,,,
2023-06-29 03:30:00,03:30:00,GBP,Low,M4 Money Supply m/m,,0.2%,0.2%,-0.1%
2023-06-29 03:30:00,,GBP,Low,Mortgage Approvals,,51K,50K,49K
2023-06-29 03:30:00,,GBP,Low,Net Lending to Individuals m/m,,1.1B,-0.6B,0.0B
2023-06-29 07:30:00,07:30:00,USD,High,Final GDP q/q,,2.0%,1.4%,1.3%
2023-06-29 07:30:00,,USD,Medium,Final GDP Price Index q/q,,4.1%,4.2%,4.2%
2023-06-29 07:32:00,07:32:00,USD,High,Unemployment Claims,,239K,264K,265K
2023-06-29 09:00:00,09:00:00,USD,Medium,Pending Home Sales m/m,,-2.7%,-0.5%,-0.4%
2023-06-29 09:30:00,09:30:00,USD,Low,Natural Gas Storage,,76B,83B,95B
2023-06-29 11:30:00,11:30:00,GBP,Low,MPC Member Tenreyro Speaks,,,,
2023-06-29 18:30:00,18:30:00,JPY,Medium,Tokyo Core CPI y/y,,3.2%,3.4%,3.1%
2023-06-29 18:30:00,,JPY,Low,Unemployment Rate,,2.6%,2.6%,2.6%
2023-06-29 18:50:00,18:50:00,JPY,Low,Prelim Industrial Production m/m,,-1.6%,-0.9%,0.7%
2023-06-29 20:30:00,20:30:00,AUD,Low,Private Sector Credit m/m,,0.4%,0.4%,0.6%
2023-06-29 20:30:00,,CNY,Medium,Manufacturing PMI,,49.0,49.0,48.8
2023-06-29 20:30:00,,CNY,Medium,Non-Manufacturing PMI,,53.2,53.7,54.5
2023-06-30 00:00:00,00:00:00,JPY,Low,Housing Starts y/y,,3.5%,-2.6%,-11.9%
2023-06-30 01:00:00,01:00:00,EUR,Low,German Import Prices m/m,,-1.4%,-1.5%,-1.7%
2023-06-30 01:00:00,,EUR,Low,German Retail Sales m/m,,0.4%,0.0%,0.7%
2023-06-30 01:00:00,,GBP,Low,Current Account,,-10.8B,-9.8B,-2.5B
2023-06-30 01:00:00,,GBP,Low,Final GDP q/q,,0.1%,0.1%,0.1%
2023-06-30 01:00:00,,GBP,Low,Nationwide HPI m/m,,0.1%,-0.3%,-0.1%
2023-06-30 01:00:00,,GBP,Low,Revised Business Investment q/q,,3.3%,0.7%,0.7%
2023-06-30 01:30:00,01:30:00,CHF,Low,Retail Sales y/y,,-1.1%,-2.5%,-4.0%
2023-06-30 01:45:00,01:45:00,EUR,Low,French Consumer Spending m/m,,0.5%,0.7%,-0.8%
2023-06-30 01:45:00,,EUR,Low,French Prelim CPI m/m,,0.2%,0.2%,-0.1%
2023-06-30 02:00:00,02:00:00,CHF,Low,KOF Economic Barometer,,90.8,89.1,91.4
2023-06-30 02:55:00,02:55:00,EUR,Low,German Unemployment Change,,28K,14K,13K
2023-06-30 03:00:00,03:00:00,EUR,Low,Italian Monthly Unemployment Rate,,7.6%,7.9%,7.8%
2023-06-30 04:00:00,04:00:00,EUR,Medium,Core CPI Flash Estimate y/y,,5.4%,5.5%,5.3%
2023-06-30 04:00:00,,EUR,Medium,CPI Flash Estimate y/y,,5.5%,5.6%,6.1%
2023-06-30 04:00:00,,EUR,Low,Unemployment Rate,,6.5%,6.5%,6.5%
2023-06-30 04:13:00,04:13:00,EUR,Low,Italian 10-y Bond Auction,,4.13|1.4,,4.24|1.5
2023-06-30 07:30:00,07:30:00,CAD,High,GDP m/m,,0.0%,0.2%,0.1%
2023-06-30 07:30:00,,USD,High,Core PCE Price Index m/m,,0.3%,0.3%,0.4%
2023-06-30 07:30:00,,USD,Low,Personal Income m/m,,0.4%,0.3%,0.3%
2023-06-30 07:30:00,,USD,Low,Personal Spending m/m,,0.1%,0.2%,0.6%
2023-06-30 08:45:00,08:45:00,USD,Low,Chicago PMI,,41.5,43.6,40.4
2023-06-30 09:00:00,09:00:00,USD,Medium,Revised UoM Consumer Sentiment,,64.4,63.9,63.9
2023-06-30 09:00:00,,USD,Low,Revised UoM Inflation Expectations,,3.3%,,3.3%
2023-06-30 09:30:00,09:30:00,CAD,Medium,BOC Business Outlook Survey,,,,
2023-07-02 17:45:00,17:45:00,NZD,Low,Building Consents m/m,,-2.2%,,-2.6%
2023-07-02 18:50:00,18:50:00,JPY,Low,Tankan Manufacturing Index,,5,3,1
2023-07-02 18:50:00,,JPY,Low,Tankan Non-Manufacturing Index,,23,22,20
2023-07-02 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,49.8,49.8,49.8
2023-07-02 20:00:00,20:00:00,AUD,Low,MI Inflation Gauge m/m,,0.1%,,0.9%
2023-07-02 20:30:00,20:30:00,AUD,Low,ANZ Job Advertisements m/m,,-2.5%,,0.1%
2023-07-02 20:30:00,,AUD,Low,Building Approvals m/m,,20.6%,3.1%,-6.8%
2023-07-02 20:45:00,20:45:00,CNY,Medium,Caixin Manufacturing PMI,,50.5,50.0,50.9
2023-07-03 01:30:00,01:30:00,AUD,Low,Commodity Prices y/y,,-21.5%,,-21.5%
2023-07-03 01:30:00,,CHF,High,CPI m/m,,0.1%,0.2%,0.3%
2023-07-03 01:45:00,01:45:00,EUR,Low,French Gov Budget Balance,,-107.2B,,-83.7B
2023-07-03 02:15:00,02:15:00,EUR,Medium,Spanish Manufacturing PMI,,48.0,48.0,48.4
2023-07-03 02:30:00,02:30:00,CHF,Low,Manufacturing PMI,,44.9,42.8,43.2
