Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2021-08-25 03:00:00,03:00:00,CHF,Low,UBS Economic Expectations,,-7.8,,42.8
2021-08-25 03:00:00,,EUR,Medium,German ifo Business Climate,,99.4,100.2,100.7
2021-08-25 07:30:00,07:30:00,USD,Medium,Core Durable Goods Orders m/m,,0.7%,0.5%,0.5%
2021-08-25 07:30:00,,USD,Low,Durable Goods Orders m/m,,-0.1%,-0.3%,0.9%
2021-08-25 07:56:00,07:56:00,EUR,Low,Belgian NBB Business Climate,,7.6,9.1,10.1
2021-08-25 09:30:00,09:30:00,USD,Medium,Crude Oil Inventories,,-3.0M,-1.9M,-3.2M
2021-08-25 18:50:00,18:50:00,JPY,Low,SPPI y/y,,1.1%,1.3%,1.3%
2021-08-25 20:30:00,20:30:00,AUD,Low,Private Capital Expenditure q/q,,4.4%,2.7%,6.0%
2021-08-26 01:00:00,01:00:00,EUR,Low,German GfK Consumer Climate,,-1.2,-0.5,-0.4
2021-08-26 03:00:00,03:00:00,EUR,Low,M3 Money Supply y/y,,7.6%,7.6%,8.3%
2021-08-26 03:00:00,,EUR,Low,Private Loans y/y,,4.2%,4.1%,4.0%
2021-08-26 06:30:00,06:30:00,EUR,Low,ECB Monetary Policy Meeting Accounts,,,,
2021-08-26 07:30:00,07:30:00,USD,High,Prelim GDP q/q,,6.6%,6.7%,6.5%
2021-08-26 07:30:00,,USD,Medium,Unemployment Claims,,353K,345K,349K
2021-08-26 07:30:00,,USD,Low,Prelim GDP Price Index q/q,,6.1%,6.0%,6.0%
2021-08-26 09:30:00,09:30:00,USD,Low,Natural Gas Storage,,29B,40B,46B
2021-08-26 00:00:00,00:00:00,All,High,Jackson Hole Symposium,,,,
2021-08-26 16:00:00,16:00:00,USD,Low,President Biden Speaks,,,,
2021-08-26 18:30:00,18:30:00,JPY,Low,Tokyo Core CPI y/y,,0.0%,-0.1%,0.1%
2021-08-26 20:30:00,20:30:00,AUD,Medium,Retail Sales m/m,,-2.7%,-2.6%,-1.8%
2021-08-27 01:00:00,01:00:00,EUR,Low,German Import Prices m/m,,2.2%,1.2%,1.6%
2021-08-27 07:30:00,07:30:00,CAD,Low,IPPI m/m,,-0.4%,1.4%,0.2%
2021-08-27 07:30:00,,CAD,Low,RMPI m/m,,2.2%,2.7%,3.8%
2021-08-27 07:30:00,,USD,High,Core PCE Price Index m/m,,0.3%,0.3%,0.5%
2021-08-27 07:30:00,,USD,Low,Goods Trade Balance,,-86.4B,-90.8B,-92.1B
2021-08-27 07:30:00,,USD,Low,Personal Income m/m,,1.1%,0.2%,0.2%
2021-08-27 07:30:00,,USD,Low,Personal Spending m/m,,0.3%,0.4%,1.1%
2021-08-27 07:30:00,,USD,Low,Prelim Wholesale Inventories m/m,,0.6%,1.0%,1.1%
2021-08-27 09:00:00,09:00:00,USD,High,Fed Chair Powell Speaks,,,,
2021-08-27 09:00:00,,USD,Medium,Revised UoM Consumer Sentiment,,70.3,70.9,70.2
2021-08-27 09:00:00,,USD,Low,Revised UoM Inflation Expectations,,4.6%,,4.6%
2021-08-27 00:00:00,00:00:00,All,High,Jackson Hole Symposium,,,,
