Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2022-01-02 00:00:00,00:00:00,NZD,Non,Bank Holiday,,,,
2022-01-02 00:00:00,00:00:00,AUD,Non,Bank Holiday,,,,
2022-01-02 00:00:00,00:00:00,JPY,Non,Bank Holiday,,,,
2022-01-02 00:00:00,00:00:00,CNY,Non,Bank Holiday,,,,
2022-01-03 00:00:00,00:00:00,EUR,Non,Italian Bank Holiday,,,,
2022-01-03 00:00:00,00:00:00,GBP,Non,Bank Holiday,,,,
2022-01-03 03:15:00,03:15:00,EUR,Low,Spanish Manufacturing PMI,,56.2,56.3,57.1
2022-01-03 03:30:00,03:30:00,CHF,Low,Manufacturing PMI,,62.7,61.2,62.5
2022-01-03 03:45:00,03:45:00,EUR,Low,Italian Manufacturing PMI,,62.0,61.6,62.8
2022-01-03 03:50:00,03:50:00,EUR,Low,French Final Manufacturing PMI,,55.6,54.9,54.9
2022-01-03 03:55:00,03:55:00,EUR,Low,German Final Manufacturing PMI,,57.4,57.9,57.9
2022-01-03 04:00:00,04:00:00,EUR,Low,Final Manufacturing PMI,,58.0,58.0,58.0
2022-01-03 00:00:00,00:00:00,CAD,Non,Bank Holiday,,,,
2022-01-03 00:00:00,00:00:00,USD,Non,Bank Holiday,,,,
2022-01-03 09:45:00,09:45:00,USD,Low,Final Manufacturing PMI,,57.7,57.7,57.8
2022-01-03 10:00:00,10:00:00,USD,Low,Construction Spending m/m,,0.4%,0.8%,0.4%
2022-01-03 00:00:00,00:00:00,NZD,Non,Bank Holiday,,,,
2022-01-03 19:01:00,19:01:00,GBP,Low,BRC Shop Price Index y/y,,0.8%,,0.3%
2022-01-03 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,54.3,54.3,54.2
2022-01-03 20:45:00,20:45:00,CNY,Low,Caixin Manufacturing PMI,,50.9,50.1,49.9
2022-01-04 00:30:00,00:30:00,AUD,Low,Commodity Prices y/y,,25.7%,,36.7%
2022-01-04 02:00:00,02:00:00,EUR,Low,German Retail Sales m/m,,0.6%,-0.2%,0.5%
2022-01-04 02:30:00,02:30:00,CHF,Low,CPI m/m,,-0.1%,-0.1%,0.0%
2022-01-04 02:45:00,02:45:00,EUR,Low,French Prelim CPI m/m,,0.2%,0.3%,0.4%
2022-01-04 03:02:00,03:02:00,EUR,Medium,Spanish Unemployment Change,,-76.8K,-32.5K,-74.4K
