Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2021-03-01 00:30:00,00:30:00,AUD,Low,Commodity Prices y/y,,23.9%,,19.5%
2021-03-01 00:00:00,00:00:00,EUR,Low,German Prelim CPI m/m,,0.7%,0.5%,0.8%
2021-03-01 02:30:00,02:30:00,CHF,Low,Retail Sales y/y,,-0.5%,4.5%,5.4%
2021-03-01 03:15:00,03:15:00,EUR,Low,Spanish Manufacturing PMI,,52.9,52.1,49.3
2021-03-01 03:30:00,03:30:00,CHF,Low,Manufacturing PMI,,61.3,60.0,59.4
2021-03-01 03:45:00,03:45:00,EUR,Low,Italian Manufacturing PMI,,56.9,57.0,55.1
2021-03-01 03:50:00,03:50:00,EUR,Low,French Final Manufacturing PMI,,56.1,55.0,55.0
2021-03-01 03:55:00,03:55:00,EUR,Low,German Final Manufacturing PMI,,60.7,60.6,60.6
2021-03-01 04:00:00,04:00:00,EUR,Low,Final Manufacturing PMI,,57.9,57.7,57.7
2021-03-01 04:30:00,04:30:00,GBP,Medium,Final Manufacturing PMI,,55.1,54.9,54.9
2021-03-01 04:30:00,,GBP,Low,M4 Money Supply m/m,,0.7%,0.8%,0.6%
2021-03-01 04:30:00,,GBP,Low,Mortgage Approvals,,99K,100K,103K
2021-03-01 04:32:00,04:32:00,GBP,Low,Net Lending to Individuals m/m,,2.8B,3.3B,4.5B
2021-03-01 05:00:00,05:00:00,EUR,Low,Italian Prelim CPI m/m,,0.1%,0.4%,0.7%
2021-03-01 08:30:00,08:30:00,CAD,Low,Current Account,,-7.3B,-7.0B,-10.5B
2021-03-01 09:00:00,09:00:00,USD,Low,FOMC Member Williams Speaks,,,,
2021-03-01 09:05:00,09:05:00,USD,Low,FOMC Member Brainard Speaks,,,,
2021-03-01 09:30:00,09:30:00,CAD,Medium,Manufacturing PMI,,54.8,,54.4
2021-03-01 09:45:00,09:45:00,USD,Medium,Final Manufacturing PMI,,58.6,58.5,58.5
2021-03-01 10:00:00,10:00:00,USD,High,ISM Manufacturing PMI,,60.8,58.7,58.7
2021-03-01 10:00:00,,USD,Low,Construction Spending m/m,,1.7%,0.7%,1.1%
2021-03-01 10:00:00,,USD,Low,ISM Manufacturing Prices,,86.0,80.0,82.1
2021-03-01 11:10:00,11:10:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2021-03-01 16:45:00,16:45:00,NZD,Low,Overseas Trade Index q/q,,1.3%,0.9%,-4.7%
2021-03-01 18:30:00,18:30:00,JPY,Low,Unemployment Rate,,2.9%,3.0%,2.9%
2021-03-01 18:50:00,18:50:00,JPY,Low,Capital Spending q/y,,-4.8%,-2.0%,-10.6%
2021-03-01 18:50:00,,JPY,Low,Monetary Base y/y,,19.6%,20.1%,18.9%
2021-03-01 19:30:00,19:30:00,AUD,Low,Building Approvals m/m,,-19.4%,-2.1%,12.0%
2021-03-01 19:30:00,,AUD,Low,Current Account,,14.5B,13.0B,10.7B
2021-03-01 22:30:00,22:30:00,AUD,High,RBA Rate Statement,,,,
2021-03-01 22:30:00,,AUD,Medium,Cash Rate,,0.10%,0.10%,0.10%
2021-03-01 22:35:00,22:35:00,JPY,Low,10-y Bond Auction,,0.13|3.1,,0.05|3.4
2021-03-02 02:00:00,02:00:00,EUR,Low,German Retail Sales m/m,,-4.5%,0.2%,-9.1%
2021-03-02 02:00:00,,GBP,Low,Nationwide HPI m/m,,0.7%,-0.3%,-0.2%
2021-03-02 03:00:00,03:00:00,EUR,Low,Spanish Unemployment Change,,44.4K,10.5K,76.2K
2021-03-02 03:55:00,03:55:00,EUR,Low,German Unemployment Change,,9K,-9K,-37K
2021-03-02 05:00:00,05:00:00,EUR,Low,Core CPI Flash Estimate y/y,,1.1%,1.1%,1.4%
2021-03-02 05:00:00,,EUR,Low,CPI Flash Estimate y/y,,0.9%,0.9%,0.9%
2021-03-02 08:30:00,08:30:00,CAD,Medium,GDP m/m,,0.1%,0.1%,0.8%
2021-03-02 10:00:00,10:00:00,USD,Low,RCM/TIPP Economic Optimism,,55.4,52.1,51.9
2021-03-02 10:09:00,10:09:00,NZD,Low,GDT Price Index,,15.0%,,3.0%
2021-03-02 00:00:00,00:00:00,USD,Low,Wards Total Vehicle Sales,,15.7M,16.4M,16.6M
2021-03-02 13:00:00,13:00:00,USD,Low,FOMC Member Brainard Speaks,,,,
2021-03-02 14:00:00,14:00:00,USD,Low,FOMC Member Daly Speaks,,,,
2021-03-02 16:30:00,16:30:00,AUD,Low,AIG Construction Index,,57.4,,57.6
2021-03-02 16:45:00,16:45:00,NZD,Low,Building Consents m/m,,2.1%,,5.1%
2021-03-02 19:00:00,19:00:00,NZD,Low,ANZ Commodity Prices m/m,,3.3%,,4.3%
2021-03-02 19:01:00,19:01:00,GBP,Low,BRC Shop Price Index y/y,,-2.4%,,-2.2%
2021-03-02 19:30:00,19:30:00,AUD,High,GDP q/q,,3.1%,2.5%,3.4%
2021-03-02 20:45:00,20:45:00,CNY,Low,Caixin Services PMI,,51.5,51.6,52.0
2021-03-03 02:30:00,02:30:00,CHF,Low,CPI m/m,,0.2%,0.4%,0.1%
2021-03-03 02:45:00,02:45:00,EUR,Low,French Gov Budget Balance,,-21.9B,,-178.1B
2021-03-03 03:15:00,03:15:00,EUR,Low,Spanish Services PMI,,43.1,43.1,41.7
2021-03-03 03:45:00,03:45:00,EUR,Low,Italian Services PMI,,48.8,45.8,44.7
2021-03-03 03:50:00,03:50:00,EUR,Low,French Final Services PMI,,45.6,43.6,43.6
2021-03-03 03:55:00,03:55:00,EUR,Low,German Final Services PMI,,45.7,45.9,45.9
2021-03-03 04:00:00,04:00:00,EUR,Low,Final Services PMI,,45.7,44.7,44.7
2021-03-03 04:30:00,04:30:00,GBP,Low,Final Services PMI,,49.5,49.7,49.7
2021-03-03 05:00:00,05:00:00,EUR,Low,PPI m/m,,1.4%,1.3%,0.9%
2021-03-03 07:35:00,07:35:00,GBP,High,Annual Budget Release,,,,
2021-03-03 08:15:00,08:15:00,USD,Medium,ADP Non-Farm Employment Change,,117K,203K,195K
2021-03-03 08:30:00,08:30:00,CAD,Low,Building Permits m/m,,8.2%,3.0%,-4.4%
2021-03-03 09:45:00,09:45:00,USD,Low,Final Services PMI,,59.8,58.9,58.9
2021-03-03 10:00:00,10:00:00,USD,Medium,ISM Services PMI,,55.3,58.7,58.7
2021-03-03 10:30:00,10:30:00,USD,Medium,Crude Oil Inventories,,21.6M,-1.3M,1.3M
2021-03-03 11:00:00,11:00:00,GBP,Medium,MPC Member Tenreyro Speaks,,,,
2021-03-03 13:00:00,13:00:00,USD,Low,FOMC Member Evans Speaks,,,,
2021-03-03 14:00:00,14:00:00,USD,Low,Beige Book,,,,
2021-03-03 15:15:00,15:15:00,NZD,High,RBNZ Gov Orr Speaks,,,,
2021-03-03 19:30:00,19:30:00,AUD,Low,Goods Trade Balance,,10.14B,6.82B,7.13B
2021-03-03 22:35:00,22:35:00,JPY,Low,30-y Bond Auction,,0.69|2.8,,0.66|3.5
2021-03-04 00:00:00,00:00:00,JPY,Low,Consumer Confidence,,33.8,29.9,29.6
2021-03-04 04:30:00,04:30:00,GBP,Low,Construction PMI,,53.3,51.1,49.2
2021-03-04 04:57:00,04:57:00,EUR,Low,Spanish 10-y Bond Auction,,0.35|1.6,,0.27|2.1
2021-03-04 04:59:00,04:59:00,EUR,Low,French 10-y Bond Auction,,-0.07|2.0,,-0.25|2.2
2021-03-04 05:00:00,05:00:00,EUR,Low,Retail Sales m/m,,-5.9%,-1.4%,1.8%
2021-03-04 05:00:00,,EUR,Low,Unemployment Rate,,8.1%,8.3%,8.1%
2021-03-04 05:04:00,05:04:00,GBP,Low,10-y Bond Auction,,0.87|2.7,,0.44|2.9
2021-03-04 00:00:00,00:00:00,All,High,OPEC-JMMC Meetings,,,,
2021-03-04 07:30:00,07:30:00,USD,Low,Challenger Job Cuts y/y,,-39.1%,,17.4%
2021-03-04 08:30:00,08:30:00,CAD,Low,Labor Productivity q/q,,-2.0%,-2.0%,-10.6%
2021-03-04 08:30:00,,USD,Low,Revised Nonfarm Productivity q/q,,-4.2%,-4.7%,-4.8%
2021-03-04 08:30:00,,USD,Low,Revised Unit Labor Costs q/q,,6.0%,6.7%,6.8%
2021-03-04 08:30:00,,USD,Low,Unemployment Claims,,745K,758K,736K
2021-03-04 10:00:00,10:00:00,USD,Low,Factory Orders m/m,,2.6%,2.2%,1.6%
2021-03-04 10:30:00,10:30:00,USD,Low,Natural Gas Storage,,-98B,-149B,-338B
2021-03-04 12:05:00,12:05:00,USD,High,Fed Chair Powell Speaks,,,,
2021-03-04 16:30:00,16:30:00,AUD,Low,AIG Services Index,,55.8,,54.3
2021-03-05 02:00:00,02:00:00,EUR,Low,German Factory Orders m/m,,1.4%,0.4%,-2.2%
2021-03-05 02:45:00,02:45:00,EUR,Low,French Trade Balance,,-3.9B,-3.4B,-3.6B
2021-03-05 03:00:00,03:00:00,CHF,Low,Foreign Currency Reserves,,914B,,897B
2021-03-05 03:30:00,03:30:00,GBP,Low,Halifax HPI m/m,,-0.1%,-0.1%,-0.4%
2021-03-05 04:00:00,04:00:00,EUR,Low,Italian Retail Sales m/m,,-3.0%,-0.6%,2.4%
2021-03-05 08:30:00,08:30:00,CAD,Low,Trade Balance,,1.4B,-1.4B,-2.0B
2021-03-05 08:30:00,,USD,High,Average Hourly Earnings m/m,,0.2%,0.2%,0.1%
2021-03-05 08:30:00,,USD,High,Non-Farm Employment Change,,379K,197K,166K
2021-03-05 08:30:00,,USD,High,Unemployment Rate,,6.2%,6.3%,6.3%
2021-03-05 08:30:00,,USD,Low,Trade Balance,,-68.2B,-67.5B,-67.0B
2021-03-05 09:00:00,09:00:00,GBP,Low,MPC Member Haskel Speaks,,,,
2021-03-05 10:00:00,10:00:00,CAD,Medium,Ivey PMI,,60.0,49.2,48.4
2021-03-05 15:00:00,15:00:00,USD,Low,Consumer Credit m/m,,-1.3B,11.8B,8.8B
2021-03-06 22:04:00,22:04:00,CNY,Low,USD-Denominated Trade Balance,,103.3B,59.0B,78.2B
2021-03-06 22:05:00,22:05:00,CNY,Low,Trade Balance,,676B,348B,517B
2021-03-07 18:50:00,18:50:00,JPY,Low,Bank Lending y/y,,6.2%,6.3%,6.0%
2021-03-07 18:50:00,,JPY,Low,Current Account,,1.50T,2.20T,2.08T
2021-03-08 00:00:00,00:00:00,JPY,Low,Leading Indicators,,99.1%,96.7%,95.3%
2021-03-08 01:00:00,01:00:00,JPY,Low,Economy Watchers Sentiment,,41.3,34.2,31.2
2021-03-08 01:45:00,01:45:00,CHF,Low,Unemployment Rate,,3.6%,3.6%,3.5%
2021-03-08 02:00:00,02:00:00,EUR,Low,German Industrial Production m/m,,-2.5%,-1.4%,1.9%
2021-03-08 04:30:00,04:30:00,EUR,Low,Sentix Investor Confidence,,5.0,0.3,-0.2
2021-03-08 05:00:00,05:00:00,GBP,High,BOE Gov Bailey Speaks,,,,
2021-03-08 10:00:00,10:00:00,USD,Low,Final Wholesale Inventories m/m,,1.3%,1.3%,1.3%
2021-03-08 16:45:00,16:45:00,NZD,Low,Manufacturing Sales q/q,,-0.6%,,10.4%
2021-03-08 18:30:00,18:30:00,JPY,Low,Average Cash Earnings y/y,,-0.8%,-1.6%,-3.0%
2021-03-08 18:30:00,,JPY,Low,Household Spending y/y,,-6.1%,-2.1%,-0.6%
2021-03-08 18:50:00,18:50:00,JPY,Low,Final GDP Price Index y/y,,0.3%,0.2%,0.2%
2021-03-08 18:50:00,,JPY,Low,Final GDP q/q,,2.8%,3.0%,3.0%
2021-03-08 18:50:00,,JPY,Low,M2 Money Stock y/y,,9.6%,9.5%,9.4%
2021-03-08 19:00:00,19:00:00,NZD,Low,Prelim ANZ Business Confidence,,0.0,,7.0
2021-03-08 19:01:00,19:01:00,GBP,Low,BRC Retail Sales Monitor y/y,,9.5%,6.5%,7.1%
2021-03-08 19:30:00,19:30:00,AUD,Low,NAB Business Confidence,,16,,12
2021-03-09 00:59:00,00:59:00,JPY,Low,Prelim Machine Tool Orders y/y,,36.7%,,9.7%
2021-03-09 01:30:00,01:30:00,EUR,Low,French Final Private Payrolls q/q,,-0.1%,-0.2%,-0.2%
2021-03-09 02:00:00,02:00:00,EUR,Low,German Trade Balance,,22.2B,17.9B,16.4B
2021-03-09 04:00:00,04:00:00,EUR,Low,Italian Industrial Production m/m,,1.0%,0.8%,0.2%
2021-03-09 05:00:00,05:00:00,EUR,Low,Final Employment Change q/q,,0.3%,0.3%,0.3%
2021-03-09 05:00:00,,EUR,Low,Revised GDP q/q,,-0.7%,-0.6%,-0.6%
2021-03-09 05:55:00,05:55:00,USD,Low,NFIB Small Business Index,,95.8,96.7,95.0
2021-03-09 17:00:00,17:00:00,AUD,High,RBA Gov Lowe Speaks,,,,
2021-03-09 18:30:00,18:30:00,AUD,Low,Westpac Consumer Sentiment,,2.6%,,1.9%
2021-03-09 20:30:00,20:30:00,CNY,Low,CPI y/y,,-0.2%,-0.3%,-0.3%
2021-03-09 20:30:00,,CNY,Low,PPI y/y,,1.7%,1.5%,0.3%
2021-03-10 02:45:00,02:45:00,EUR,Low,French Industrial Production m/m,,3.3%,0.5%,-0.7%
2021-03-10 03:30:00,03:30:00,CNY,Low,M2 Money Supply y/y,,10.1%,9.4%,9.4%
2021-03-10 03:30:00,,CNY,Low,New Loans,,1360B,950B,3580B
2021-03-10 07:30:00,07:30:00,USD,High,CPI y/y,,1.7%,1.7%,1.4%
2021-03-10 08:30:00,08:30:00,USD,High,Core CPI m/m,,0.1%,0.2%,0.0%
2021-03-10 08:30:00,,USD,High,CPI m/m,,0.4%,0.4%,0.3%
2021-03-10 10:00:00,10:00:00,CAD,High,BOC Rate Statement,,,,
2021-03-10 10:00:00,,CAD,Medium,Overnight Rate,,0.25%,0.25%,0.25%
2021-03-10 10:30:00,10:30:00,USD,Medium,Crude Oil Inventories,,13.8M,3.0M,21.6M
2021-03-10 13:01:00,13:01:00,USD,Medium,10-y Bond Auction,,1.52|2.4,,1.16|2.4
2021-03-10 14:00:00,14:00:00,USD,Low,Federal Budget Balance,,-310.9B,-298.6B,-162.8B
2021-03-10 16:45:00,16:45:00,NZD,Low,FPI m/m,,-0.9%,,1.3%
2021-03-10 18:50:00,18:50:00,JPY,Low,PPI y/y,,-0.7%,-0.7%,-1.5%
2021-03-10 19:00:00,19:00:00,AUD,Low,MI Inflation Expectations,,4.1%,,3.7%
2021-03-10 19:01:00,19:01:00,GBP,Low,RICS House Price Balance,,52%,46%,49%
2021-03-11 03:00:00,03:00:00,CHF,Low,SECO Economic Forecasts,,,,
2021-03-11 07:45:00,07:45:00,EUR,High,Monetary Policy Statement,,,,
2021-03-11 07:45:00,,EUR,Medium,Main Refinancing Rate,,0.00%,0.00%,0.00%
2021-03-11 08:30:00,08:30:00,EUR,High,ECB Press Conference,,,,
2021-03-11 08:30:00,,USD,Low,Unemployment Claims,,712K,730K,754K
2021-03-11 10:00:00,10:00:00,USD,Low,JOLTS Job Openings,,6.92M,6.65M,6.75M
2021-03-11 10:30:00,10:30:00,USD,Low,Natural Gas Storage,,-52B,-76B,-98B
2021-03-11 13:01:00,13:01:00,USD,Medium,30-y Bond Auction,,2.30|2.3,,1.93|2.2
2021-03-11 13:30:00,13:30:00,CAD,Low,Gov Council Member Schembri Speaks,,,,
2021-03-11 16:30:00,16:30:00,NZD,Low,BusinessNZ Manufacturing Index,,53.4,,58.0
2021-03-11 18:50:00,18:50:00,JPY,Low,BSI Manufacturing Index,,1.6,19.0,21.6
