Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2023-04-29 00:00:00,00:00:00,EUR,Low,ECOFIN Meetings,,,,
2023-04-29 20:30:00,20:30:00,CNY,Medium,Manufacturing PMI,,49.2,51.4,51.9
2023-04-29 20:30:00,,CNY,Medium,Non-Manufacturing PMI,,56.4,57.0,58.2
2023-04-30 00:00:00,00:00:00,CNY,Non,Bank Holiday,,,,
2023-04-30 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,49.5,49.5,49.5
2023-04-30 20:00:00,20:00:00,AUD,Low,MI Inflation Gauge m/m,,0.2%,,0.3%
2023-04-30 20:30:00,20:30:00,AUD,Low,ANZ Job Advertisements m/m,,-0.3%,,-2.7%
2023-05-01 00:00:00,00:00:00,JPY,Low,Consumer Confidence,,35.4,34.7,33.9
2023-05-01 00:00:00,00:00:00,CHF,Non,Bank Holiday,,,,
2023-05-01 01:30:00,01:30:00,AUD,Low,Commodity Prices y/y,,-19.2%,,-6.9%
2023-05-01 00:00:00,00:00:00,GBP,Non,Bank Holiday,,,,
2023-05-01 00:00:00,00:00:00,EUR,Non,French Bank Holiday,,,,
2023-05-01 00:00:00,00:00:00,EUR,Non,German Bank Holiday,,,,
2023-05-01 00:00:00,00:00:00,EUR,Non,Italian Bank Holiday,,,,
2023-05-01 08:30:00,08:30:00,CAD,Low,Manufacturing PMI,,50.2,,48.6
2023-05-01 08:45:00,08:45:00,USD,Low,Final Manufacturing PMI,,50.2,50.4,50.4
2023-05-01 09:00:00,09:00:00,USD,High,ISM Manufacturing PMI,,47.1,46.8,46.3
2023-05-01 09:00:00,,USD,Medium,ISM Manufacturing Prices,,53.2,49.4,49.2
2023-05-01 09:00:00,,USD,Low,Construction Spending m/m,,0.3%,0.2%,-0.3%
2023-05-01 18:01:00,18:01:00,GBP,Low,BRC Shop Price Index y/y,,8.8%,,8.9%
2023-05-01 18:50:00,18:50:00,JPY,Low,Monetary Base y/y,,-1.7%,-1.3%,-1.0%
2023-05-01 23:30:00,23:30:00,AUD,High,Cash Rate,,3.85%,3.60%,3.60%
2023-05-01 23:30:00,,AUD,High,RBA Rate Statement,,,,
2023-05-02 01:00:00,01:00:00,EUR,Low,German Retail Sales m/m,,-2.4%,0.4%,-0.3%
2023-05-02 01:00:00,,GBP,Low,Nationwide HPI m/m,,0.5%,-0.5%,-0.7%
2023-05-02 02:00:00,02:00:00,CHF,Low,SECO Consumer Climate,,-30,-22,-30
2023-05-02 02:15:00,02:15:00,EUR,Low,Spanish Manufacturing PMI,,49.0,49.8,51.3
2023-05-02 02:30:00,02:30:00,CHF,Low,Manufacturing PMI,,45.3,47.2,47.0
2023-05-02 02:45:00,02:45:00,EUR,Low,Italian Manufacturing PMI,,46.8,49.4,51.1
2023-05-02 02:50:00,02:50:00,EUR,Low,French Final Manufacturing PMI,,45.6,45.5,45.5
2023-05-02 02:55:00,02:55:00,EUR,Low,German Final Manufacturing PMI,,44.5,44.0,44.0
2023-05-02 03:00:00,03:00:00,EUR,Low,Final Manufacturing PMI,,45.8,45.5,45.5
2023-05-02 03:00:00,,EUR,Low,M3 Money Supply y/y,,2.5%,2.4%,2.9%
2023-05-02 03:00:00,,EUR,Low,Private Loans y/y,,2.9%,3.2%,3.2%
2023-05-02 03:30:00,03:30:00,GBP,Low,Final Manufacturing PMI,,47.8,46.6,46.6
2023-05-02 04:00:00,04:00:00,EUR,Medium,Core CPI Flash Estimate y/y,,5.6%,5.6%,5.7%
2023-05-02 04:00:00,,EUR,Medium,CPI Flash Estimate y/y,,7.0%,7.0%,6.9%
2023-05-02 04:00:00,,EUR,Low,Italian Prelim CPI m/m,,0.5%,0.3%,-0.4%
2023-05-02 06:20:00,06:20:00,AUD,High,RBA Gov Lowe Speaks,,,,
2023-05-02 09:00:00,09:00:00,USD,High,JOLTS Job Openings,,9.59M,9.74M,9.97M
2023-05-02 09:00:00,,USD,Low,Factory Orders m/m,,0.9%,1.3%,-1.1%
2023-05-02 00:00:00,00:00:00,USD,Low,Wards Total Vehicle Sales,,15.9M,15.1M,14.8M
2023-05-02 09:53:00,09:53:00,NZD,Low,GDT Price Index,,2.5%,,3.2%
2023-05-02 16:00:00,16:00:00,NZD,Low,RBNZ Financial Stability Report,,,,
2023-05-02 17:45:00,17:45:00,NZD,High,Employment Change q/q,,0.8%,0.5%,0.5%
2023-05-02 17:45:00,,NZD,High,Unemployment Rate,,3.4%,3.5%,3.4%
2023-05-02 17:45:00,,NZD,Low,Labor Cost Index q/q,,0.9%,1.1%,1.1%
2023-05-02 00:00:00,00:00:00,JPY,Non,Bank Holiday,,,,
2023-05-02 20:00:00,20:00:00,NZD,High,RBNZ Gov Orr Speaks,,,,
2023-05-02 20:30:00,20:30:00,AUD,Low,Retail Sales m/m,,0.4%,0.2%,0.2%
2023-05-02 23:55:00,23:55:00,AUD,Low,RBA Assist Gov Ellis Speaks,,,,
2023-05-03 01:45:00,01:45:00,EUR,Low,French Gov Budget Balance,,-54.7B,,-50.3B
2023-05-03 03:00:00,03:00:00,EUR,Low,Italian Monthly Unemployment Rate,,7.8%,8.0%,7.9%
2023-05-03 04:00:00,04:00:00,EUR,Low,Unemployment Rate,,6.5%,6.6%,6.6%
2023-05-03 07:15:00,07:15:00,USD,High,ADP Non-Farm Employment Change,,296K,148K,142K
2023-05-03 08:45:00,08:45:00,USD,Low,Final Services PMI,,53.6,53.7,53.7
2023-05-03 09:00:00,09:00:00,USD,High,ISM Services PMI,,51.9,51.8,51.2
2023-05-03 09:30:00,09:30:00,USD,Low,Crude Oil Inventories,,-1.3M,-0.5M,-5.1M
2023-05-03 13:00:00,13:00:00,USD,High,Federal Funds Rate,,5.25%,5.25%,5.00%
2023-05-03 13:00:00,,USD,High,FOMC Statement,,,,
2023-05-03 13:30:00,13:30:00,USD,High,FOMC Press Conference,,,,
2023-05-03 17:45:00,17:45:00,NZD,Low,Building Consents m/m,,7.0%,,-9.4%
2023-05-03 00:00:00,00:00:00,JPY,Non,Bank Holiday,,,,
2023-05-03 20:00:00,20:00:00,NZD,Low,ANZ Commodity Prices m/m,,-1.7%,,1.3%
2023-05-03 20:30:00,20:30:00,AUD,Low,Goods Trade Balance,,15.27B,13.00B,14.15B
2023-05-03 20:45:00,20:45:00,CNY,Low,Caixin Manufacturing PMI,,49.5,50.0,50.0
2023-05-04 01:00:00,01:00:00,EUR,Low,German Trade Balance,,16.7B,16.1B,16.1B
2023-05-04 02:00:00,02:00:00,EUR,Low,Spanish Unemployment Change,,-73.9K,-12.4K,-48.8K
2023-05-04 02:15:00,02:15:00,EUR,Low,Spanish Services PMI,,57.9,59.2,59.4
2023-05-04 02:45:00,02:45:00,EUR,Low,Italian Services PMI,,57.6,56.6,55.7
2023-05-04 02:50:00,02:50:00,EUR,Low,French Final Services PMI,,54.6,56.3,56.3
2023-05-04 02:55:00,02:55:00,EUR,Low,German Final Services PMI,,56.0,55.7,55.7
2023-05-04 03:00:00,03:00:00,EUR,Low,Final Services PMI,,56.2,56.6,56.6
2023-05-04 03:30:00,03:30:00,GBP,Low,Final Services PMI,,55.9,54.9,54.9
2023-05-04 03:30:00,,GBP,Low,M4 Money Supply m/m,,-0.6%,0.2%,-0.3%
2023-05-04 03:30:00,,GBP,Low,Mortgage Approvals,,52K,46K,44K
