Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2022-06-30 08:45:00,08:45:00,USD,Low,Chicago PMI,,56.0,58.1,60.3
2022-06-30 09:30:00,09:30:00,USD,Low,Natural Gas Storage,,82B,70B,74B
2022-06-30 17:30:00,17:30:00,AUD,Low,AIG Manufacturing Index,,54.0,,52.4
2022-06-30 17:45:00,17:45:00,NZD,Low,Building Consents m/m,,-0.5%,,-8.6%
2022-06-30 18:30:00,18:30:00,JPY,Low,Tokyo Core CPI y/y,,2.1%,2.1%,1.9%
2022-06-30 18:30:00,,JPY,Low,Unemployment Rate,,2.6%,2.5%,2.5%
2022-06-30 18:50:00,18:50:00,JPY,Low,Tankan Manufacturing Index,,9,13,14
2022-06-30 18:50:00,,JPY,Low,Tankan Non-Manufacturing Index,,13,13,9
2022-06-30 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,52.7,52.7,52.7
2022-06-30 20:45:00,20:45:00,CNY,Low,Caixin Manufacturing PMI,,51.7,50.2,48.1
2022-07-01 01:30:00,01:30:00,AUD,Low,Commodity Prices y/y,,24.3%,,34.7%
2022-07-01 02:15:00,02:15:00,EUR,Low,Spanish Manufacturing PMI,,52.6,52.3,53.8
2022-07-01 02:30:00,02:30:00,CHF,Low,Manufacturing PMI,,59.1,57.9,60.0
2022-07-01 02:45:00,02:45:00,EUR,Low,Italian Manufacturing PMI,,50.9,50.6,51.9
2022-07-01 02:50:00,02:50:00,EUR,Low,French Final Manufacturing PMI,,51.4,51.0,51.0
2022-07-01 02:55:00,02:55:00,EUR,Low,German Final Manufacturing PMI,,52.0,52.0,52.0
2022-07-01 03:00:00,03:00:00,EUR,Low,Final Manufacturing PMI,,52.1,52.0,52.0
2022-07-01 03:30:00,03:30:00,GBP,Low,Final Manufacturing PMI,,52.8,53.4,53.4
2022-07-01 03:30:00,,GBP,Low,M4 Money Supply m/m,,0.5%,0.4%,0.0%
2022-07-01 03:30:00,,GBP,Low,Mortgage Approvals,,66K,64K,66K
2022-07-01 03:30:00,,GBP,Low,Net Lending to Individuals m/m,,8.3B,5.6B,5.5B
2022-07-01 04:00:00,04:00:00,EUR,High,CPI Flash Estimate y/y,,8.6%,8.5%,8.1%
2022-07-01 04:00:00,,EUR,Medium,Core CPI Flash Estimate y/y,,3.7%,3.9%,3.8%
2022-07-01 04:00:00,,EUR,Low,Italian Prelim CPI m/m,,1.2%,0.6%,0.8%
2022-07-01 04:45:00,04:45:00,EUR,Low,French Gov Budget Balance,,-82.3B,,-67.3B
2022-07-01 00:00:00,00:00:00,CAD,Non,Bank Holiday,,,,
2022-07-01 08:45:00,08:45:00,USD,Low,Final Manufacturing PMI,,52.7,52.4,52.4
2022-07-01 09:00:00,09:00:00,USD,High,ISM Manufacturing PMI,,53.0,54.6,56.1
2022-07-01 09:00:00,,USD,Low,Construction Spending m/m,,-0.1%,0.3%,0.8%
2022-07-01 09:00:00,,USD,Low,ISM Manufacturing Prices,,78.5,80.0,82.2
2022-07-01 00:00:00,00:00:00,USD,Low,Wards Total Vehicle Sales,,13.0M,13.3M,12.7M
2022-07-03 18:50:00,18:50:00,JPY,Low,Monetary Base y/y,,3.9%,4.9%,4.6%
2022-07-03 20:04:00,20:04:00,AUD,Low,MI Inflation Gauge m/m,,0.3%,,1.1%
2022-07-03 20:30:00,20:30:00,AUD,Low,ANZ Job Advertisements m/m,,1.4%,,1.0%
2022-07-03 20:30:00,,AUD,Low,Building Approvals m/m,,9.9%,-2.0%,-3.9%
2022-07-04 01:00:00,01:00:00,EUR,Low,German Trade Balance,,-1.0B,4.2B,3.1B
