Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2024-06-26 01:00:00,01:00:00,EUR,Low,German GfK Consumer Climate,,-21.8,-19.4,-21.0
2024-06-26 03:00:00,03:00:00,CHF,Low,UBS Economic Expectations,,17.5,,18.2
2024-06-26 05:00:00,05:00:00,GBP,Low,CBI Realized Sales,,-24,1,8
2024-06-26 08:00:00,08:00:00,CHF,Low,SNB Quarterly Bulletin,,,,
2024-06-26 08:00:00,,CNY,Low,CB Leading Index m/m,,-0.5%,,-0.3%
2024-06-26 09:00:00,09:00:00,USD,High,New Home Sales,,619K,636K,698K
2024-06-26 09:30:00,09:30:00,USD,Low,Crude Oil Inventories,,3.6M,-2.6M,-2.5M
2024-06-26 15:30:00,15:30:00,USD,Low,Bank Stress Test Results,,,,
2024-06-26 18:50:00,18:50:00,JPY,Low,Retail Sales y/y,,3.0%,2.0%,2.0%
2024-06-26 20:00:00,20:00:00,AUD,Low,MI Inflation Expectations,,4.4%,,4.1%
2024-06-26 20:00:00,,NZD,Low,ANZ Business Confidence,,6.1,,11.2
2024-06-26 21:00:00,21:00:00,NZD,Medium,RBNZ Statement of Intent,,,,
2024-06-27 03:00:00,03:00:00,EUR,Low,M3 Money Supply y/y,,1.6%,1.5%,1.3%
2024-06-27 03:00:00,,EUR,Low,Private Loans y/y,,0.3%,0.3%,0.2%
2024-06-27 04:09:00,04:09:00,EUR,Low,Italian 10-y Bond Auction,,4.01|1.4,,3.97|1.5
2024-06-27 04:30:00,04:30:00,GBP,High,BOE Gov Bailey Speaks,,,,
2024-06-27 04:30:00,,GBP,Low,BOE Financial Stability Report,,,,
2024-06-27 04:30:00,,GBP,Low,FPC Meeting Minutes,,,,
2024-06-27 04:30:00,,GBP,Low,FPC Statement,,,,
2024-06-27 05:00:00,05:00:00,AUD,Low,RBA Deputy Gov Hauser Speaks,,,,
2024-06-27 07:30:00,07:30:00,USD,High,Final GDP q/q,,1.4%,1.4%,1.3%
2024-06-27 07:30:00,,USD,High,Unemployment Claims,,233K,236K,239K
2024-06-27 07:30:00,,USD,Medium,Core Durable Goods Orders m/m,,-0.1%,0.2%,0.4%
2024-06-27 07:30:00,,USD,Medium,Durable Goods Orders m/m,,0.1%,-0.5%,0.6%
2024-06-27 07:30:00,,USD,Medium,Final GDP Price Index q/q,,3.1%,3.0%,3.0%
2024-06-27 07:30:00,,USD,Low,Goods Trade Balance,,-100.6B,-96.0B,-98.0B
2024-06-27 07:30:00,,USD,Low,Prelim Wholesale Inventories m/m,,0.6%,0.1%,0.1%
2024-06-27 09:00:00,09:00:00,USD,High,Pending Home Sales m/m,,-2.1%,0.6%,-7.7%
2024-06-27 09:30:00,09:30:00,USD,Low,Natural Gas Storage,,52B,53B,71B
2024-06-27 00:00:00,00:00:00,NZD,Non,Bank Holiday,,,,
2024-06-27 18:30:00,18:30:00,JPY,Medium,Tokyo Core CPI y/y,,2.1%,2.0%,1.9%
2024-06-27 18:30:00,,JPY,Low,Unemployment Rate,,2.6%,2.6%,2.6%
2024-06-27 18:50:00,18:50:00,JPY,Low,Prelim Industrial Production m/m,,2.8%,2.0%,-0.9%
2024-06-27 20:00:00,20:00:00,USD,Medium,President Biden Speaks,,,,
2024-06-27 20:30:00,20:30:00,AUD,Low,Private Sector Credit m/m,,0.4%,0.4%,0.5%
2024-06-28 00:00:00,00:00:00,JPY,Low,Housing Starts y/y,,-5.3%,-6.1%,13.9%
2024-06-28 01:00:00,01:00:00,EUR,Low,German Import Prices m/m,,0.0%,0.2%,0.7%
2024-06-28 01:00:00,,GBP,Low,Current Account,,-21.0B,-17.7B,-21.2B
2024-06-28 01:00:00,,GBP,Low,Final GDP q/q,,0.7%,0.6%,0.6%
2024-06-28 01:00:00,,GBP,Low,Revised Business Investment q/q,,0.5%,0.9%,0.9%
2024-06-28 01:45:00,01:45:00,EUR,Medium,French Prelim CPI m/m,,0.1%,0.1%,0.0%
2024-06-28 01:45:00,,EUR,Low,French Consumer Spending m/m,,1.5%,0.2%,-0.9%
2024-06-28 02:00:00,02:00:00,CHF,Low,KOF Economic Barometer,,102.7,101.0,102.2
2024-06-28 02:00:00,,EUR,Medium,Spanish Flash CPI y/y,,3.4%,3.4%,3.6%
2024-06-28 02:55:00,02:55:00,EUR,Low,German Unemployment Change,,19K,14K,25K
2024-06-28 04:00:00,04:00:00,EUR,Low,Italian Prelim CPI m/m,,0.1%,0.2%,0.2%
2024-06-28 05:00:00,05:00:00,USD,Low,FOMC Member Barkin Speaks,,,,
2024-06-28 07:30:00,07:30:00,CAD,High,GDP m/m,,0.3%,0.3%,0.0%
2024-06-28 07:30:00,,USD,High,Core PCE Price Index m/m,,0.1%,0.1%,0.3%
2024-06-28 07:30:00,,USD,Low,Personal Income m/m,,0.5%,0.4%,0.3%
2024-06-28 07:30:00,,USD,Low,Personal Spending m/m,,0.2%,0.3%,0.1%
2024-06-28 08:45:00,08:45:00,USD,Medium,Chicago PMI,,47.4,39.7,35.4
2024-06-28 09:00:00,09:00:00,USD,Medium,Revised UoM Consumer Sentiment,,68.2,65.9,65.6
2024-06-28 09:00:00,,USD,Low,Revised UoM Inflation Expectations,,3.0%,,3.3%
2024-06-28 11:00:00,11:00:00,USD,Low,FOMC Member Bowman Speaks,,,,
2024-06-29 20:30:00,20:30:00,CNY,High,Manufacturing PMI,,49.5,49.5,49.5
2024-06-29 20:30:00,,CNY,Medium,Non-Manufacturing PMI,,50.5,51.1,51.1
2024-06-30 00:00:00,00:00:00,EUR,High,French Parliamentary Elections,,,,
2024-06-30 18:50:00,18:50:00,JPY,Low,Tankan Manufacturing Index,,13,11,11
2024-06-30 18:50:00,,JPY,Low,Tankan Non-Manufacturing Index,,33,33,34
2024-06-30 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,50.0,50.1,50.1
2024-06-30 20:00:00,20:00:00,AUD,Low,MI Inflation Gauge m/m,,0.3%,,0.3%
2024-06-30 20:30:00,20:30:00,AUD,Low,ANZ Job Advertisements m/m,,-2.2%,,-1.9%
2024-06-30 20:45:00,20:45:00,CNY,Low,Caixin Manufacturing PMI,,51.8,51.5,51.7
2024-07-01 00:00:00,00:00:00,JPY,Low,Consumer Confidence,,36.4,36.4,36.2
2024-07-01 01:25:00,01:25:00,GBP,Low,Nationwide HPI m/m,,0.2%,0.0%,0.4%
2024-07-01 00:00:00,00:00:00,EUR,High,German Prelim CPI m/m,,0.1%,0.2%,0.1%
2024-07-01 01:30:00,01:30:00,AUD,Low,Commodity Prices y/y,,-4.1%,,-6.0%
2024-07-01 01:30:00,,CHF,Low,Retail Sales y/y,,0.4%,2.5%,2.2%
2024-07-01 02:15:00,02:15:00,EUR,Low,Spanish Manufacturing PMI,,52.3,53.1,54.0
2024-07-01 02:30:00,02:30:00,CHF,Low,Manufacturing PMI,,43.9,45.2,46.4
2024-07-01 02:45:00,02:45:00,EUR,Low,Italian Manufacturing PMI,,45.7,44.3,45.6
2024-07-01 02:50:00,02:50:00,EUR,Low,French Final Manufacturing PMI,,45.4,45.3,45.3
2024-07-01 02:55:00,02:55:00,EUR,Low,German Final Manufacturing PMI,,43.5,43.4,43.4
2024-07-01 03:00:00,03:00:00,EUR,Low,Final Manufacturing PMI,,45.8,45.6,45.6
2024-07-01 03:30:00,03:30:00,GBP,Low,Final Manufacturing PMI,,50.9,51.4,51.4
2024-07-01 03:30:00,,GBP,Low,M4 Money Supply m/m,,-0.1%,0.2%,0.0%
2024-07-01 03:30:00,,GBP,Low,Mortgage Approvals,,60K,60K,61K
2024-07-01 03:30:00,,GBP,Low,Net Lending to Individuals m/m,,2.7B,3.3B,3.0B
2024-07-01 00:00:00,00:00:00,CAD,Non,Bank Holiday,,,,
2024-07-01 07:15:00,07:15:00,EUR,Low,German Buba President Nagel Speaks,,,,
2024-07-01 08:45:00,08:45:00,USD,Medium,Final Manufacturing PMI,,51.6,51.7,51.7
2024-07-01 09:00:00,09:00:00,USD,High,ISM Manufacturing PMI,,48.5,49.2,48.7
2024-07-01 09:00:00,,USD,Medium,ISM Manufacturing Prices,,52.1,55.8,57.0
2024-07-01 09:00:00,,USD,Low,Construction Spending m/m,,-0.1%,0.3%,0.3%
2024-07-01 14:00:00,14:00:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2024-07-01 17:00:00,17:00:00,NZD,Low,NZIER Business Confidence,,-44,,-25
2024-07-01 17:45:00,17:45:00,NZD,Low,Building Consents m/m,,-1.7%,,-2.1%
2024-07-01 18:01:00,18:01:00,GBP,Low,BRC Shop Price Index y/y,,0.2%,,0.6%
2024-07-01 18:50:00,18:50:00,JPY,Low,Monetary Base y/y,,0.6%,1.0%,0.9%
2024-07-01 20:30:00,20:30:00,AUD,Medium,Monetary Policy Meeting Minutes,,,,
2024-07-01 22:35:00,22:35:00,JPY,Low,10-y Bond Auction,,1.09|3.2,,1.05|3.7
2024-07-02 02:00:00,02:00:00,EUR,Low,Spanish Unemployment Change,,-46.8K,-50.9K,-58.7K
2024-07-02 03:00:00,03:00:00,EUR,Low,Italian Monthly Unemployment Rate,,6.8%,6.9%,6.8%
2024-07-02 04:00:00,04:00:00,EUR,High,Core CPI Flash Estimate y/y,,2.9%,2.8%,2.9%
2024-07-02 04:00:00,,EUR,High,CPI Flash Estimate y/y,,2.5%,2.5%,2.6%
2024-07-02 04:00:00,,EUR,Low,Unemployment Rate,,6.4%,6.4%,6.4%
2024-07-02 08:30:00,08:30:00,CAD,Low,Manufacturing PMI,,49.3,,49.3
2024-07-02 08:30:00,,EUR,Medium,ECB President Lagarde Speaks,,,,
