Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2024-08-30 03:30:00,,GBP,Low,Net Lending to Individuals m/m,,4.0B,3.4B,3.5B
2024-08-30 04:00:00,04:00:00,EUR,High,CPI Flash Estimate y/y,,2.2%,2.2%,2.6%
2024-08-30 04:00:00,,EUR,Medium,Core CPI Flash Estimate y/y,,2.8%,2.8%,2.9%
2024-08-30 04:00:00,,EUR,Low,Italian Prelim CPI m/m,,0.2%,0.3%,0.4%
2024-08-30 04:00:00,,EUR,Low,Unemployment Rate,,6.4%,6.5%,6.5%
2024-08-30 07:30:00,07:30:00,CAD,High,GDP m/m,,0.0%,0.1%,0.1%
2024-08-30 07:30:00,,USD,High,Core PCE Price Index m/m,,0.2%,0.2%,0.2%
2024-08-30 07:30:00,,USD,Low,Personal Income m/m,,0.3%,0.2%,0.2%
2024-08-30 07:30:00,,USD,Low,Personal Spending m/m,,0.5%,0.5%,0.3%
2024-08-30 08:45:00,08:45:00,USD,Medium,Chicago PMI,,46.1,45.0,45.3
2024-08-30 09:00:00,09:00:00,USD,Medium,Revised UoM Consumer Sentiment,,67.9,68.0,67.8
2024-08-30 09:00:00,,USD,Low,Revised UoM Inflation Expectations,,2.8%,,2.9%
2024-08-30 20:30:00,20:30:00,CNY,High,Manufacturing PMI,,49.1,49.5,49.4
2024-08-30 20:30:00,,CNY,Medium,Non-Manufacturing PMI,,50.3,50.1,50.2
2024-09-01 18:50:00,18:50:00,JPY,Low,Capital Spending q/y,,7.4%,9.6%,6.8%
2024-09-01 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,49.8,49.5,49.5
2024-09-01 20:00:00,20:00:00,AUD,Low,MI Inflation Gauge m/m,,-0.1%,,0.4%
2024-09-01 20:30:00,20:30:00,AUD,Low,ANZ Job Advertisements m/m,,-2.1%,,-2.7%
2024-09-01 20:30:00,,AUD,Low,Building Approvals m/m,,10.4%,2.4%,-6.4%
2024-09-01 20:30:00,,AUD,Low,Company Operating Profits q/q,,-5.3%,-0.6%,-2.5%
2024-09-01 20:45:00,20:45:00,CNY,Low,Caixin Manufacturing PMI,,50.4,50.0,49.8
2024-09-02 01:30:00,01:30:00,CHF,Low,Retail Sales y/y,,2.7%,-0.2%,-2.6%
2024-09-02 01:32:00,01:32:00,AUD,Low,Commodity Prices y/y,,-5.2%,,-4.2%
2024-09-02 02:15:00,02:15:00,EUR,Low,Spanish Manufacturing PMI,,50.5,51.4,51.0
2024-09-02 02:30:00,02:30:00,CHF,Low,Manufacturing PMI,,49.0,43.7,43.5
2024-09-02 02:45:00,02:45:00,EUR,Low,Italian Manufacturing PMI,,49.4,48.0,47.4
2024-09-02 02:50:00,02:50:00,EUR,Low,French Final Manufacturing PMI,,43.9,42.1,42.1
2024-09-02 02:55:00,02:55:00,EUR,Low,German Final Manufacturing PMI,,42.4,42.1,42.1
2024-09-02 03:00:00,03:00:00,EUR,Low,Final Manufacturing PMI,,45.8,45.6,45.6
2024-09-02 03:30:00,03:30:00,GBP,Low,Final Manufacturing PMI,,52.5,52.5,52.5
2024-09-02 00:00:00,00:00:00,CAD,Non,Bank Holiday,,,,
2024-09-02 00:00:00,00:00:00,USD,Non,Bank Holiday,,,,
2024-09-02 17:45:00,17:45:00,NZD,Low,Overseas Trade Index q/q,,2.1%,2.6%,5.1%
2024-09-02 18:01:00,18:01:00,GBP,Low,BRC Retail Sales Monitor y/y,,0.8%,0.7%,0.3%
2024-09-02 18:50:00,18:50:00,JPY,Low,Monetary Base y/y,,0.6%,0.6%,1.0%
2024-09-02 20:30:00,20:30:00,AUD,Low,Current Account,,-10.7B,-4.5B,-6.3B
2024-09-02 22:35:00,22:35:00,JPY,Low,10-y Bond Auction,,0.92|3.2,,0.93|3.0
2024-09-03 01:30:00,01:30:00,CHF,High,CPI m/m,,0.0%,0.1%,-0.2%
2024-09-03 01:45:00,01:45:00,EUR,Low,French Gov Budget Balance,,-156.9B,,-103.5B
2024-09-03 02:00:00,02:00:00,CHF,Medium,GDP q/q,,0.7%,0.5%,0.5%
2024-09-03 02:00:00,,EUR,Low,Spanish Unemployment Change,,21.9K,34.3K,-10.8K
2024-09-03 08:30:00,08:30:00,CAD,Low,Manufacturing PMI,,49.5,,47.8
2024-09-03 08:45:00,08:45:00,USD,Low,Final Manufacturing PMI,,47.9,48.1,48.0
2024-09-03 09:00:00,09:00:00,USD,High,ISM Manufacturing PMI,,47.2,47.5,46.8
2024-09-03 09:00:00,,USD,Medium,ISM Manufacturing Prices,,54.0,52.1,52.9
2024-09-03 09:00:00,,USD,Low,Construction Spending m/m,,-0.3%,0.1%,0.0%
2024-09-03 09:07:00,09:07:00,USD,Low,RCM/TIPP Economic Optimism,,46.1,46.2,44.5
2024-09-03 10:54:00,10:54:00,NZD,Low,GDT Price Index,,-0.4%,,5.5%
2024-09-03 11:45:00,11:45:00,EUR,Low,German Buba President Nagel Speaks,,,,
2024-09-03 20:00:00,20:00:00,NZD,Low,ANZ Commodity Prices m/m,,2.1%,,-1.7%
2024-09-03 20:30:00,20:30:00,AUD,High,GDP q/q,,0.2%,0.2%,0.2%
2024-09-03 20:45:00,20:45:00,CNY,Low,Caixin Services PMI,,51.6,51.9,52.1
2024-09-04 02:15:00,02:15:00,EUR,Low,Spanish Services PMI,,54.6,54.8,53.9
2024-09-04 02:45:00,02:45:00,EUR,Low,Italian Services PMI,,51.4,52.5,51.7
2024-09-04 02:50:00,02:50:00,EUR,Low,French Final Services PMI,,55.0,55.0,55.0
2024-09-04 02:55:00,02:55:00,EUR,Low,German Final Services PMI,,51.2,51.4,51.4
2024-09-04 03:00:00,03:00:00,EUR,Low,Final Services PMI,,52.9,53.3,53.3
2024-09-04 03:30:00,03:30:00,GBP,Low,Final Services PMI,,53.7,53.3,53.3
2024-09-04 04:00:00,04:00:00,EUR,Low,PPI m/m,,0.8%,0.3%,0.6%
2024-09-04 07:30:00,07:30:00,CAD,Low,Trade Balance,,0.7B,0.7B,-0.2B
2024-09-04 07:30:00,,USD,Low,Trade Balance,,-78.8B,-78.8B,-73.0B
2024-09-04 08:45:00,08:45:00,CAD,High,BOC Rate Statement,,,,
2024-09-04 08:45:00,,CAD,High,Overnight Rate,,4.25%,4.25%,4.50%
2024-09-04 09:00:00,09:00:00,USD,High,JOLTS Job Openings,,7.67M,8.09M,7.91M
2024-09-04 09:00:00,,USD,Low,Factory Orders m/m,,5.0%,4.7%,-3.3%
2024-09-04 00:00:00,00:00:00,USD,Low,Wards Total Vehicle Sales,,15.1M,15.4M,15.8M
2024-09-04 09:30:00,09:30:00,CAD,High,BOC Press Conference,,,,
2024-09-04 13:00:00,13:00:00,USD,Low,Beige Book,,,,
2024-09-04 18:30:00,18:30:00,JPY,Low,Average Cash Earnings y/y,,3.6%,3.0%,4.5%
2024-09-04 20:30:00,20:30:00,AUD,Low,Goods Trade Balance,,6.01B,5.05B,5.43B
2024-09-04 22:05:00,22:05:00,AUD,High,RBA Gov Bullock Speaks,,,,
2024-09-04 22:35:00,22:35:00,JPY,Low,30-y Bond Auction,,2.04|3.4,,2.23|3.5
2024-09-05 00:45:00,00:45:00,CHF,Low,Unemployment Rate,,2.5%,2.5%,2.5%
2024-09-05 01:00:00,01:00:00,EUR,Low,German Factory Orders m/m,,2.9%,-1.6%,4.6%
2024-09-05 03:30:00,03:30:00,GBP,Medium,Construction PMI,,53.6,54.6,55.3
2024-09-05 03:52:00,03:52:00,EUR,Low,Spanish 10-y Bond Auction,,3.04|2.1,,3.11|1.5
2024-09-05 04:00:00,04:00:00,AUD,Low,RBA Gov Bullock Speaks,,,,
2024-09-05 04:00:00,,EUR,Low,Retail Sales m/m,,0.1%,0.1%,-0.4%
2024-09-05 04:02:00,04:02:00,EUR,Low,French 10-y Bond Auction,,2.95|2.2,,3.01|2.2
2024-09-05 06:30:00,06:30:00,USD,Low,Challenger Job Cuts y/y,,1.0%,,9.2%
2024-09-05 07:15:00,07:15:00,USD,High,ADP Non-Farm Employment Change,,99K,144K,111K
2024-09-05 07:30:00,07:30:00,CAD,Low,Labor Productivity q/q,,-0.2%,-0.1%,-0.3%
2024-09-05 07:30:00,,USD,High,Unemployment Claims,,227K,231K,232K
2024-09-05 07:30:00,,USD,Low,Revised Nonfarm Productivity q/q,,2.5%,2.4%,2.3%
2024-09-05 07:30:00,,USD,Low,Revised Unit Labor Costs q/q,,0.4%,0.8%,0.9%
2024-09-05 08:45:00,08:45:00,USD,Medium,Final Services PMI,,55.7,55.0,55.2
2024-09-05 09:00:00,09:00:00,USD,High,ISM Services PMI,,51.5,51.3,51.4
2024-09-05 09:30:00,09:30:00,USD,Low,Natural Gas Storage,,13B,26B,35B
2024-09-05 10:00:00,10:00:00,USD,Medium,Crude Oil Inventories,,-6.9M,-0.6M,-0.8M
2024-09-05 18:30:00,18:30:00,JPY,Low,Household Spending y/y,,0.1%,1.2%,-1.4%
2024-09-06 00:00:00,00:00:00,JPY,Low,Leading Indicators,,109.5%,109.4%,109.0%
2024-09-06 01:00:00,01:00:00,EUR,Low,German Industrial Production m/m,,-2.4%,-0.4%,1.7%
2024-09-06 01:00:00,,EUR,Low,German Trade Balance,,16.8B,21.0B,20.4B
2024-09-06 01:00:00,,GBP,Low,Halifax HPI m/m,,0.3%,0.2%,0.9%
2024-09-06 01:45:00,01:45:00,EUR,Low,French Industrial Production m/m,,-0.5%,-0.3%,0.8%
2024-09-06 01:45:00,,EUR,Low,French Trade Balance,,-5.9B,-6.5B,-6.0B
2024-09-06 02:00:00,02:00:00,CHF,Low,Foreign Currency Reserves,,694B,,704B
2024-09-06 02:00:00,,CHF,Low,SECO Consumer Climate,,-35,-33,-32
2024-09-06 03:00:00,03:00:00,EUR,Low,Italian Retail Sales m/m,,0.5%,0.1%,-0.2%
2024-09-06 04:00:00,04:00:00,EUR,Low,Final Employment Change q/q,,0.2%,0.2%,0.2%
2024-09-06 04:00:00,,EUR,Low,Revised GDP q/q,,0.2%,0.3%,0.3%
2024-09-06 07:30:00,07:30:00,CAD,High,Employment Change,,22.1K,23.7K,-2.8K
2024-09-06 07:30:00,,CAD,High,Unemployment Rate,,6.6%,6.5%,6.4%
2024-09-06 07:30:00,,USD,High,Average Hourly Earnings m/m,,0.4%,0.3%,0.2%
2024-09-06 07:30:00,,USD,High,Non-Farm Employment Change,,142K,164K,89K
2024-09-06 07:30:00,,USD,High,Unemployment Rate,,4.2%,4.2%,4.3%
2024-09-06 07:45:00,07:45:00,USD,Medium,FOMC Member Williams Speaks,,,,
2024-09-06 09:00:00,09:00:00,CAD,Medium,Ivey PMI,,48.2,55.3,57.6
2024-09-06 10:00:00,10:00:00,USD,High,FOMC Member Waller Speaks,,,,
2024-09-08 18:50:00,18:50:00,JPY,Low,Bank Lending y/y,,3.0%,3.2%,3.2%
2024-09-08 18:50:00,,JPY,Low,Current Account,,2.80T,2.08T,1.78T
2024-09-08 18:50:00,,JPY,Low,Final GDP Price Index y/y,,3.2%,3.0%,3.0%
2024-09-08 18:50:00,,JPY,Low,Final GDP q/q,,0.7%,0.8%,0.8%
2024-09-08 20:30:00,20:30:00,CNY,Medium,CPI y/y,,0.6%,0.7%,0.5%
2024-09-08 20:30:00,,CNY,Medium,PPI y/y,,-1.8%,-1.5%,-0.8%
2024-09-09 00:00:00,00:00:00,JPY,Low,Economy Watchers Sentiment,,49.0,47.6,47.5
2024-09-09 03:30:00,03:30:00,EUR,Low,Sentix Investor Confidence,,-15.4,-12.4,-13.9
2024-09-09 09:00:00,09:00:00,USD,Low,Final Wholesale Inventories m/m,,0.2%,0.3%,0.3%
2024-09-09 14:00:00,14:00:00,USD,Low,Consumer Credit m/m,,25.5B,12.3B,5.2B
2024-09-09 17:45:00,17:45:00,NZD,Low,Manufacturing Sales q/q,,0.1%,,0.8%
2024-09-09 18:50:00,18:50:00,JPY,Low,M2 Money Stock y/y,,1.3%,1.5%,1.5%
2024-09-09 19:30:00,19:30:00,AUD,Low,Westpac Consumer Sentiment,,-0.5%,,2.8%
2024-09-09 20:30:00,20:30:00,AUD,Low,NAB Business Confidence,,-4,,1
2024-09-09 22:17:00,22:17:00,CNY,Low,USD-Denominated Trade Balance,,91.0B,81.4B,84.7B
2024-09-09 22:18:00,22:18:00,CNY,Low,Trade Balance,,649B,579B,602B
2024-09-10 00:58:00,00:58:00,JPY,Low,Prelim Machine Tool Orders y/y,,-3.5%,,8.4%
2024-09-10 01:00:00,01:00:00,EUR,Low,German Final CPI m/m,,-0.1%,-0.1%,-0.1%
2024-09-10 01:00:00,,GBP,High,Claimant Count Change,,23.7K,95.5K,102.3K
2024-09-10 01:00:00,,GBP,Medium,Average Earnings Index 3m/y,,4.0%,4.1%,4.6%
2024-09-10 01:00:00,,GBP,Low,Unemployment Rate,,4.1%,4.1%,4.2%
2024-09-10 03:00:00,03:00:00,EUR,Low,Italian Industrial Production m/m,,-0.9%,-0.2%,0.5%
2024-09-10 04:59:00,04:59:00,USD,Low,NFIB Small Business Index,,91.2,93.6,93.7
2024-09-10 06:00:00,06:00:00,GBP,Low,BOE Quarterly Bulletin,,,,
2024-09-10 06:00:00,,GBP,Low,MPC Member Breeden Speaks,,,,
2024-09-10 07:10:00,07:10:00,CAD,High,BOC Gov Macklem Speaks,,,,
2024-09-10 09:00:00,09:00:00,USD,Low,FOMC Member Barr Speaks,,,,
2024-09-10 11:15:00,11:15:00,USD,Low,FOMC Member Bowman Speaks,,,,
2024-09-10 17:45:00,17:45:00,NZD,Low,Visitor Arrivals m/m,,2.2%,,0.5%
2024-09-10 19:20:00,19:20:00,AUD,Low,RBA Assist Gov Hunter Speaks,,,,
2024-09-11 01:00:00,01:00:00,GBP,High,GDP m/m,,0.0%,0.2%,0.0%
2024-09-11 01:00:00,,GBP,Low,Construction Output m/m,,-0.4%,0.4%,0.5%
2024-09-11 01:00:00,,GBP,Low,Goods Trade Balance,,-20.0B,-18.0B,-18.9B
2024-09-11 01:00:00,,GBP,Low,Index of Services 3m/3m,,0.6%,0.6%,0.8%
2024-09-11 01:00:00,,GBP,Low,Industrial Production m/m,,-0.8%,0.3%,0.8%
2024-09-11 01:00:00,,GBP,Low,Manufacturing Production m/m,,-1.0%,0.2%,1.1%
2024-09-11 04:03:00,04:03:00,GBP,Low,10-y Bond Auction,,3.76|2.8,,4.08|2.9
2024-09-11 04:33:00,04:33:00,EUR,Low,German 10-y Bond Auction,,2.11|2.1,,2.22|2.0
2024-09-11 06:18:00,06:18:00,GBP,Low,NIESR GDP Estimate,,0.3%,,0.5%
2024-09-11 07:30:00,07:30:00,USD,High,Core CPI m/m,,0.3%,0.2%,0.2%
2024-09-11 07:30:00,,USD,High,CPI m/m,,0.2%,0.2%,0.2%
2024-09-11 07:30:00,,USD,High,CPI y/y,,2.5%,2.5%,2.9%
2024-09-11 08:30:00,08:30:00,GBP,Low,CB Leading Index m/m,,-0.3%,,-0.1%
2024-09-11 09:30:00,09:30:00,USD,Medium,Crude Oil Inventories,,0.8M,0.9M,-6.9M
2024-09-11 12:01:00,12:01:00,USD,Low,10-y Bond Auction,,3.65|2.6,,3.96|2.3
2024-09-11 17:45:00,17:45:00,NZD,Low,FPI m/m,,0.2%,,0.4%
2024-09-11 18:01:00,18:01:00,GBP,Low,RICS House Price Balance,,1%,-14%,-18%
2024-09-11 18:50:00,18:50:00,JPY,Low,BSI Manufacturing Index,,4.5,-2.5,-1.0
2024-09-11 18:50:00,,JPY,Low,PPI y/y,,2.5%,2.8%,3.0%
2024-09-11 20:00:00,20:00:00,AUD,Low,MI Inflation Expectations,,4.4%,,4.5%
2024-09-12 01:00:00,01:00:00,EUR,Low,German WPI m/m,,-0.8%,0.1%,0.3%
2024-09-12 03:05:00,03:05:00,EUR,Low,Italian Quarterly Unemployment Rate,,6.8%,7.1%,7.2%
2024-09-12 07:00:00,07:00:00,USD,Low,Federal Budget Balance,,-380.1B,-285.7B,-243.7B
2024-09-12 07:15:00,07:15:00,EUR,High,Main Refinancing Rate,,3.65%,3.65%,4.25%
2024-09-12 07:15:00,,EUR,High,Monetary Policy Statement,,,,
2024-09-12 07:30:00,07:30:00,CAD,Low,Building Permits m/m,,22.1%,6.5%,-13.0%
2024-09-12 07:30:00,,USD,High,Core PPI m/m,,0.3%,0.2%,-0.2%
2024-09-12 07:30:00,,USD,High,PPI m/m,,0.2%,0.1%,0.0%
2024-09-12 07:30:00,,USD,High,Unemployment Claims,,230K,227K,228K
2024-09-12 07:45:00,07:45:00,EUR,High,ECB Press Conference,,,,
2024-09-12 09:25:00,09:25:00,CHF,Medium,SNB Chairman Jordan Speaks,,,,
2024-09-12 09:30:00,09:30:00,USD,Low,Natural Gas Storage,,40B,49B,13B
2024-09-12 12:01:00,12:01:00,USD,Medium,30-y Bond Auction,,4.02|2.4,,4.31|2.3
2024-09-12 17:30:00,17:30:00,NZD,Low,BusinessNZ Manufacturing Index,,45.8,,44.4
2024-09-12 23:30:00,23:30:00,JPY,Low,Revised Industrial Production m/m,,3.1%,2.8%,2.8%
2024-09-13 01:45:00,01:45:00,EUR,Low,French Final CPI m/m,,0.5%,0.6%,0.6%
2024-09-13 03:30:00,03:30:00,GBP,Low,Consumer Inflation Expectations,,2.7%,,2.8%
2024-09-13 04:00:00,04:00:00,EUR,Low,Industrial Production m/m,,-0.3%,-0.6%,0.0%
2024-09-13 00:00:00,00:00:00,EUR,Low,ECOFIN Meetings,,,,
2024-09-13 00:00:00,00:00:00,EUR,Low,Eurogroup Meetings,,,,
2024-09-13 06:28:00,06:28:00,CNY,Low,M2 Money Supply y/y,,6.3%,6.2%,6.3%
2024-09-13 06:29:00,06:29:00,CNY,Medium,New Loans,,900B,810B,260B
2024-09-13 07:30:00,07:30:00,CAD,Low,Capacity Utilization Rate,,79.1%,78.8%,78.6%
2024-09-13 07:30:00,,CAD,Low,Wholesale Sales m/m,,0.4%,-1.1%,-0.5%
2024-09-13 07:30:00,,USD,Low,Import Prices m/m,,-0.3%,-0.2%,0.1%
2024-09-13 09:00:00,09:00:00,USD,Medium,Prelim UoM Consumer Sentiment,,69.0,68.3,67.9
2024-09-13 09:00:00,,USD,Medium,Prelim UoM Inflation Expectations,,2.7%,,2.8%
2024-09-13 20:30:00,20:30:00,CNY,Low,New Home Prices m/m,,-0.73%,,-0.65%
2024-09-13 21:00:00,21:00:00,CNY,Medium,Industrial Production y/y,,4.5%,4.7%,5.1%
2024-09-13 21:00:00,,CNY,Medium,Retail Sales y/y,,2.1%,2.5%,2.7%
2024-09-13 21:00:00,,CNY,Low,Fixed Asset Investment ytd/y,,3.4%,3.5%,3.6%
2024-09-13 21:00:00,,CNY,Low,NBS Press Conference,,,,
2024-09-13 21:00:00,,CNY,Low,Unemployment Rate,,5.3%,5.2%,5.2%
2024-09-14 00:00:00,00:00:00,EUR,Low,ECOFIN Meetings,,,,
2024-09-14 04:22:00,04:22:00,CNY,Low,Foreign Direct Investment ytd/y,,-31.5%,,-29.6%
2024-09-15 17:30:00,17:30:00,NZD,Low,BusinessNZ Services Index,,45.5,,45.2
2024-09-15 00:00:00,00:00:00,JPY,Non,Bank Holiday,,,,
2024-09-15 18:01:00,18:01:00,GBP,Low,Rightmove HPI m/m,,0.8%,,-1.5%
2024-09-15 00:00:00,00:00:00,CNY,Non,Bank Holiday,,,,
2024-09-16 01:30:00,01:30:00,CHF,Low,PPI m/m,,0.2%,0.1%,0.0%
2024-09-16 04:00:00,04:00:00,EUR,Low,Italian Trade Balance,,6.74B,4.45B,5.15B
2024-09-16 04:00:00,,EUR,Low,Trade Balance,,15.5B,14.9B,17.0B
2024-09-16 07:30:00,07:30:00,CAD,Low,Manufacturing Sales m/m,,1.4%,0.7%,-1.7%
2024-09-16 07:30:00,,USD,Medium,Empire State Manufacturing Index,,11.5,-4.1,-4.7
2024-09-16 00:00:00,00:00:00,CNY,Non,Bank Holiday,,,,
2024-09-16 23:30:00,23:30:00,JPY,Low,Tertiary Industry Activity m/m,,1.4%,0.8%,-1.2%
2024-09-17 04:00:00,04:00:00,EUR,Medium,German ZEW Economic Sentiment,,3.6,17.1,19.2
2024-09-17 04:00:00,,EUR,Low,ZEW Economic Sentiment,,9.3,16.3,17.9
2024-09-17 04:02:00,04:02:00,GBP,Low,30-y Bond Auction,,4.33|2.9,,4.64|3.3
2024-09-17 07:15:00,07:15:00,CAD,Low,Housing Starts,,217K,252K,280K
2024-09-17 07:30:00,07:30:00,CAD,High,CPI m/m,,-0.2%,0.0%,0.4%
2024-09-17 07:30:00,,CAD,High,Median CPI y/y,,2.3%,2.2%,2.4%
2024-09-17 07:30:00,,CAD,High,Trimmed CPI y/y,,2.4%,2.5%,2.7%
2024-09-17 07:30:00,,CAD,Medium,Common CPI y/y,,2.0%,2.2%,2.2%
2024-09-17 07:30:00,,CAD,Low,Core CPI m/m,,-0.1%,,0.3%
2024-09-17 07:30:00,,USD,High,Core Retail Sales m/m,,0.1%,0.2%,0.4%
2024-09-17 07:30:00,,USD,High,Retail Sales m/m,,0.1%,-0.2%,1.1%
2024-09-17 08:15:00,08:15:00,USD,Low,Capacity Utilization Rate,,78.0%,77.9%,77.4%
2024-09-17 08:15:00,,USD,Low,Industrial Production m/m,,0.8%,0.2%,-0.9%
2024-09-17 09:00:00,09:00:00,USD,Low,Business Inventories m/m,,0.4%,0.3%,0.3%
2024-09-17 09:00:00,,USD,Low,FOMC Member Logan Speaks,,,,
2024-09-17 09:00:00,,USD,Low,NAHB Housing Market Index,,41,41,39
