Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2023-03-01 00:30:00,00:30:00,AUD,Low,Commodity Prices y/y,,3.6%,,11.0%
2023-03-01 02:00:00,02:00:00,GBP,Low,Nationwide HPI m/m,,-0.5%,-0.5%,-0.6%
2023-03-01 00:00:00,00:00:00,EUR,Low,German Prelim CPI m/m,,0.8%,0.5%,1.0%
2023-03-01 02:30:00,02:30:00,CHF,Low,Retail Sales y/y,,-2.2%,-2.2%,-3.0%
2023-03-01 03:15:00,03:15:00,EUR,Low,Spanish Manufacturing PMI,,50.7,49.1,48.4
2023-03-01 03:30:00,03:30:00,CHF,Low,Manufacturing PMI,,48.9,50.4,49.3
2023-03-01 03:45:00,03:45:00,EUR,Low,Italian Manufacturing PMI,,52.0,50.9,50.4
2023-03-01 03:50:00,03:50:00,EUR,Low,French Final Manufacturing PMI,,47.4,47.9,47.9
2023-03-01 03:55:00,03:55:00,EUR,Low,German Final Manufacturing PMI,,46.3,46.5,46.5
2023-03-01 03:55:00,,EUR,Low,German Unemployment Change,,2K,-9K,-11K
2023-03-01 04:00:00,04:00:00,EUR,Low,Final Manufacturing PMI,,48.5,48.5,48.5
2023-03-01 04:30:00,04:30:00,GBP,Low,Final Manufacturing PMI,,49.3,49.2,49.2
2023-03-01 04:30:00,,GBP,Low,M4 Money Supply m/m,,1.3%,-0.9%,-0.9%
2023-03-01 04:30:00,,GBP,Low,Mortgage Approvals,,40K,37K,41K
2023-03-01 04:30:00,,GBP,Low,Net Lending to Individuals m/m,,4.1B,4.6B,3.9B
2023-03-01 05:00:00,05:00:00,EUR,Low,German Buba President Nagel Speaks,,,,
2023-03-01 05:00:00,,GBP,High,BOE Gov Bailey Speaks,,,,
2023-03-01 09:00:00,09:00:00,USD,Low,FOMC Member Kashkari Speaks,,,,
2023-03-01 09:30:00,09:30:00,CAD,Low,Manufacturing PMI,,52.4,,51.0
2023-03-01 09:45:00,09:45:00,USD,Low,Final Manufacturing PMI,,47.3,47.8,47.8
2023-03-01 10:00:00,10:00:00,USD,High,ISM Manufacturing PMI,,47.7,47.9,47.4
2023-03-01 10:00:00,,USD,Low,Construction Spending m/m,,-0.1%,0.2%,-0.7%
2023-03-01 10:00:00,,USD,Low,ISM Manufacturing Prices,,51.3,45.5,44.5
2023-03-01 00:00:00,00:00:00,USD,Low,Wards Total Vehicle Sales,,14.9M,14.7M,15.7M
2023-03-01 10:30:00,10:30:00,USD,Low,Crude Oil Inventories,,1.2M,1.7M,7.6M
2023-03-01 16:45:00,16:45:00,NZD,Low,Overseas Trade Index q/q,,1.8%,-1.7%,-3.9%
2023-03-01 18:50:00,18:50:00,JPY,Low,Capital Spending q/y,,7.7%,7.2%,9.8%
2023-03-01 18:50:00,,JPY,Low,Monetary Base y/y,,-1.6%,-3.2%,-3.8%
2023-03-01 19:30:00,19:30:00,AUD,Low,Building Approvals m/m,,-27.6%,-7.1%,15.3%
2023-03-01 22:35:00,22:35:00,JPY,Low,10-y Bond Auction,,0.50|7.6,,0.49|4.6
2023-03-02 00:00:00,00:00:00,JPY,Low,Consumer Confidence,,31.1,32.1,31.0
2023-03-02 02:45:00,02:45:00,EUR,Low,French Gov Budget Balance,,-21.1B,,-151.5B
2023-03-02 03:00:00,03:00:00,EUR,Low,Spanish Unemployment Change,,2.6K,11.5K,70.7K
2023-03-02 04:00:00,04:00:00,EUR,Low,Italian Monthly Unemployment Rate,,7.9%,7.8%,7.8%
2023-03-02 04:49:00,04:49:00,EUR,Low,Spanish 10-y Bond Auction,,3.77|1.9,,3.40|1.8
2023-03-02 05:00:00,05:00:00,EUR,Medium,Core CPI Flash Estimate y/y,,5.6%,5.3%,5.3%
2023-03-02 05:00:00,,EUR,Medium,CPI Flash Estimate y/y,,8.5%,8.3%,8.6%
2023-03-02 05:00:00,,EUR,Low,Italian Prelim CPI m/m,,0.3%,0.1%,0.1%
2023-03-02 05:00:00,,EUR,Low,Unemployment Rate,,6.7%,6.6%,6.6%
2023-03-02 05:03:00,05:03:00,EUR,Low,French 10-y Bond Auction,,3.20|2.3,,2.68|2.1
2023-03-02 07:30:00,07:30:00,EUR,Low,ECB Monetary Policy Meeting Accounts,,,,
2023-03-02 08:30:00,08:30:00,USD,Medium,Unemployment Claims,,190K,196K,192K
2023-03-02 08:30:00,,USD,Low,Revised Nonfarm Productivity q/q,,1.7%,2.5%,3.0%
2023-03-02 08:30:00,,USD,Low,Revised Unit Labor Costs q/q,,3.2%,1.6%,1.1%
2023-03-02 10:00:00,10:00:00,GBP,Low,MPC Member Pill Speaks,,,,
2023-03-02 10:30:00,10:30:00,USD,Low,Natural Gas Storage,,-81B,-72B,-71B
2023-03-02 14:06:00,14:06:00,NZD,High,RBNZ Gov Orr Speaks,,,,
2023-03-02 16:00:00,16:00:00,USD,Medium,FOMC Member Waller Speaks,,,,
2023-03-02 18:00:00,18:00:00,USD,Low,FOMC Member Kashkari Speaks,,,,
2023-03-02 18:30:00,18:30:00,JPY,Low,Tokyo Core CPI y/y,,3.3%,3.3%,4.3%
2023-03-02 18:30:00,,JPY,Low,Unemployment Rate,,2.4%,2.5%,2.5%
2023-03-02 20:45:00,20:45:00,CNY,Low,Caixin Services PMI,,55.0,54.3,52.9
2023-03-03 02:00:00,02:00:00,EUR,Low,German Trade Balance,,16.7B,11.1B,10.0B
2023-03-03 02:45:00,02:45:00,EUR,Low,French Industrial Production m/m,,-1.9%,-0.2%,1.5%
2023-03-03 03:15:00,03:15:00,EUR,Low,Spanish Services PMI,,56.7,53.8,52.7
2023-03-03 03:45:00,03:45:00,EUR,Low,Italian Services PMI,,51.6,52.4,51.2
2023-03-03 03:50:00,03:50:00,EUR,Low,French Final Services PMI,,53.1,52.8,52.8
2023-03-03 03:55:00,03:55:00,EUR,Low,German Final Services PMI,,50.9,51.3,51.3
2023-03-03 04:00:00,04:00:00,EUR,Low,Final Services PMI,,52.7,53.0,53.0
2023-03-03 04:30:00,04:30:00,GBP,Low,Final Services PMI,,53.5,53.3,53.3
2023-03-03 05:00:00,05:00:00,EUR,Low,PPI m/m,,-2.8%,-0.3%,1.1%
2023-03-03 08:30:00,08:30:00,CAD,Low,Building Permits m/m,,-4.0%,1.7%,-7.7%
2023-03-03 08:30:00,,CAD,Low,Labor Productivity q/q,,-0.5%,0.2%,-0.3%
2023-03-03 09:45:00,09:45:00,USD,Low,Final Services PMI,,50.6,50.5,50.5
2023-03-03 10:00:00,10:00:00,USD,High,ISM Services PMI,,55.1,54.5,55.2
2023-03-03 11:00:00,11:00:00,USD,Low,Fed Monetary Policy Report,,,,
2023-03-03 11:00:00,,USD,Low,FOMC Member Logan Speaks,,,,
2023-03-05 19:00:00,19:00:00,AUD,Low,MI Inflation Gauge m/m,,0.4%,,0.9%
2023-03-05 19:00:00,,NZD,Low,ANZ Commodity Prices m/m,,1.3%,,-0.9%
2023-03-06 02:30:00,02:30:00,CHF,High,CPI m/m,,0.7%,0.5%,0.6%
2023-03-06 04:30:00,04:30:00,EUR,Low,Sentix Investor Confidence,,-11.1,-5.6,-8.0
2023-03-06 04:30:00,,GBP,Low,Construction PMI,,54.6,48.7,48.4
2023-03-06 05:00:00,05:00:00,EUR,Low,Retail Sales m/m,,0.3%,0.7%,-1.7%
2023-03-06 10:00:00,10:00:00,CAD,Medium,Ivey PMI,,51.6,55.9,60.1
2023-03-06 10:00:00,,USD,Low,Factory Orders m/m,,-1.6%,-1.8%,1.7%
2023-03-06 18:30:00,18:30:00,JPY,Low,Average Cash Earnings y/y,,0.8%,1.9%,4.1%
2023-03-06 19:01:00,19:01:00,GBP,Low,BRC Retail Sales Monitor y/y,,4.9%,4.8%,3.9%
2023-03-06 19:30:00,19:30:00,AUD,Low,Goods Trade Balance,,11.69B,12.25B,12.99B
2023-03-06 22:30:00,22:30:00,AUD,High,Cash Rate,,3.60%,3.60%,3.35%
2023-03-06 22:30:00,,AUD,High,RBA Rate Statement,,,,
2023-03-06 22:35:00,22:35:00,JPY,Low,30-y Bond Auction,,1.42|3.0,,1.54|3.3
2023-03-06 23:21:00,23:21:00,CNY,Low,Trade Balance,,810B,572B,550B
2023-03-06 23:22:00,23:22:00,CNY,Low,USD-Denominated Trade Balance,,116.9B,82.5B,78.0B
2023-03-07 01:45:00,01:45:00,CHF,Low,Unemployment Rate,,1.9%,1.9%,1.9%
2023-03-07 02:00:00,02:00:00,EUR,Low,German Factory Orders m/m,,1.0%,-0.6%,3.4%
2023-03-07 02:00:00,,GBP,Low,Halifax HPI m/m,,1.1%,-0.3%,0.2%
2023-03-07 03:00:00,03:00:00,CHF,Low,Foreign Currency Reserves,,771B,,785B
2023-03-07 09:21:00,09:21:00,NZD,Low,GDT Price Index,,-0.7%,,-1.5%
2023-03-07 10:00:00,10:00:00,USD,High,Fed Chair Powell Testifies,,,,
2023-03-07 10:00:00,,USD,Low,Final Wholesale Inventories m/m,,-0.4%,-0.4%,-0.4%
2023-03-07 10:00:00,,USD,Low,RCM/TIPP Economic Optimism,,46.9,47.2,45.1
2023-03-07 13:00:00,13:00:00,CHF,Medium,SNB Chairman Jordan Speaks,,,,
2023-03-07 15:00:00,15:00:00,USD,Low,Consumer Credit m/m,,14.8B,25.2B,10.7B
2023-03-07 16:55:00,16:55:00,AUD,High,RBA Gov Lowe Speaks,,,,
2023-03-07 18:50:00,18:50:00,JPY,Low,Bank Lending y/y,,3.3%,3.2%,3.1%
2023-03-07 18:50:00,,JPY,Low,Current Account,,0.22T,0.80T,1.18T
2023-03-08 00:00:00,00:00:00,JPY,Low,Leading Indicators,,96.5%,96.9%,97.2%
2023-03-08 01:00:00,01:00:00,JPY,Low,Economy Watchers Sentiment,,52.0,49.1,48.5
2023-03-08 02:00:00,02:00:00,EUR,Low,German Industrial Production m/m,,3.5%,1.4%,-2.4%
2023-03-08 02:00:00,,EUR,Low,German Retail Sales m/m,,-0.3%,2.3%,-1.7%
2023-03-08 04:00:00,04:00:00,EUR,Low,Italian Retail Sales m/m,,1.7%,0.2%,-0.2%
2023-03-08 04:30:00,04:30:00,GBP,Low,MPC Member Dhingra Speaks,,,,
2023-03-08 05:00:00,05:00:00,EUR,Medium,ECB President Lagarde Speaks,,,,
2023-03-08 05:00:00,,EUR,Low,Final Employment Change q/q,,0.3%,0.4%,0.4%
2023-03-08 05:00:00,,EUR,Low,Revised GDP q/q,,0.0%,0.0%,0.1%
2023-03-08 08:15:00,08:15:00,USD,High,ADP Non-Farm Employment Change,,242K,197K,119K
2023-03-08 08:30:00,08:30:00,CAD,Low,Trade Balance,,1.9B,-0.1B,1.2B
2023-03-08 08:30:00,,USD,Low,Trade Balance,,-68.3B,-68.7B,-67.2B
2023-03-08 10:00:00,10:00:00,CAD,High,BOC Rate Statement,,,,
2023-03-08 10:00:00,,CAD,High,Overnight Rate,,4.50%,4.50%,4.50%
2023-03-08 10:00:00,,USD,High,Fed Chair Powell Testifies,,,,
2023-03-08 10:00:00,,USD,High,JOLTS Job Openings,,10.82M,10.58M,11.23M
2023-03-08 10:30:00,10:30:00,USD,Low,Crude Oil Inventories,,-1.7M,1.3M,1.2M
2023-03-08 13:01:00,13:01:00,USD,Medium,10-y Bond Auction,,3.99|2.4,,3.61|2.7
2023-03-08 14:00:00,14:00:00,USD,Low,Beige Book,,,,
2023-03-08 18:50:00,18:50:00,JPY,Low,Final GDP Price Index y/y,,1.2%,1.1%,1.1%
2023-03-08 18:50:00,,JPY,Low,Final GDP q/q,,0.0%,0.2%,0.2%
2023-03-08 18:50:00,,JPY,Low,M2 Money Stock y/y,,2.6%,2.8%,2.7%
2023-03-08 19:01:00,19:01:00,GBP,Low,RICS House Price Balance,,-48%,-48%,-46%
2023-03-08 20:30:00,20:30:00,CNY,Low,CPI y/y,,1.0%,1.9%,2.1%
2023-03-08 20:30:00,,CNY,Low,PPI y/y,,-1.4%,-1.3%,-0.8%
2023-03-09 00:58:00,00:58:00,JPY,Low,Prelim Machine Tool Orders y/y,,-10.7%,,-9.7%
2023-03-09 01:30:00,01:30:00,EUR,Low,French Final Private Payrolls q/q,,0.2%,0.0%,0.0%
2023-03-09 07:30:00,07:30:00,USD,Low,Challenger Job Cuts y/y,,410.1%,,440.0%
2023-03-09 08:30:00,08:30:00,USD,Medium,Unemployment Claims,,211K,195K,190K
2023-03-09 10:00:00,10:00:00,USD,Low,FOMC Member Barr Speaks,,,,
2023-03-09 10:30:00,10:30:00,USD,Low,Natural Gas Storage,,-84B,-76B,-81B
2023-03-09 13:01:00,13:01:00,USD,Low,30-y Bond Auction,,3.88|2.4,,3.69|2.2
2023-03-09 13:30:00,13:30:00,CAD,Low,Gov Council Member Rogers Speaks,,,,
2023-03-09 16:30:00,16:30:00,NZD,Low,BusinessNZ Manufacturing Index,,52.0,,51.2
2023-03-09 16:45:00,16:45:00,NZD,Low,Manufacturing Sales q/q,,-0.4%,,5.0%
2023-03-09 18:30:00,18:30:00,JPY,Low,Household Spending y/y,,-0.3%,-0.2%,-1.3%
2023-03-09 18:50:00,18:50:00,JPY,Low,PPI y/y,,8.2%,8.4%,9.5%
2023-03-09 21:31:00,21:31:00,JPY,High,Monetary Policy Statement,,,,
2023-03-09 21:31:00,,JPY,Low,BOJ Policy Rate,,-0.10%,-0.10%,-0.10%
2023-03-10 01:30:00,01:30:00,JPY,High,BOJ Press Conference,,,,
2023-03-10 02:00:00,02:00:00,EUR,Low,German Final CPI m/m,,0.8%,0.8%,0.8%
2023-03-10 02:00:00,,GBP,High,GDP m/m,,0.3%,0.1%,-0.5%
2023-03-10 02:00:00,,GBP,Low,Construction Output m/m,,-1.7%,0.0%,0.0%
2023-03-10 02:00:00,,GBP,Low,Goods Trade Balance,,-17.9B,-17.5B,-19.3B
2023-03-10 02:00:00,,GBP,Low,Index of Services 3m/3m,,0.0%,-0.1%,0.0%
