Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2024-04-28 00:00:00,00:00:00,JPY,Non,Bank Holiday,,,,
2024-04-29 00:00:00,00:00:00,EUR,High,German Prelim CPI m/m,,0.5%,0.6%,0.4%
2024-04-29 02:00:00,02:00:00,EUR,Medium,Spanish Flash CPI y/y,,3.3%,3.4%,3.2%
2024-04-29 04:13:00,04:13:00,EUR,Low,Italian 10-y Bond Auction,,3.86|1.3,,3.67|1.4
2024-04-29 18:01:00,18:01:00,GBP,Low,BRC Shop Price Index y/y,,0.8%,,1.3%
2024-04-29 18:30:00,18:30:00,JPY,Low,Unemployment Rate,,2.6%,2.5%,2.6%
2024-04-29 18:50:00,18:50:00,JPY,Low,Prelim Industrial Production m/m,,3.8%,3.4%,-0.6%
2024-04-29 18:50:00,,JPY,Low,Retail Sales y/y,,1.2%,2.5%,4.7%
2024-04-29 20:00:00,20:00:00,NZD,Medium,ANZ Business Confidence,,14.9,,22.9
2024-04-29 20:30:00,20:30:00,AUD,Medium,Retail Sales m/m,,-0.4%,0.2%,0.2%
2024-04-29 20:30:00,,AUD,Low,Private Sector Credit m/m,,0.3%,0.4%,0.5%
2024-04-29 20:30:00,,CNY,High,Manufacturing PMI,,50.4,50.3,50.8
2024-04-29 20:30:00,,CNY,Medium,Non-Manufacturing PMI,,51.2,52.3,53.0
2024-04-29 20:45:00,20:45:00,CNY,Low,Caixin Manufacturing PMI,,51.4,51.0,51.1
2024-04-30 00:00:00,00:00:00,JPY,Low,Housing Starts y/y,,-12.8%,-7.6%,-8.2%
2024-04-30 00:30:00,00:30:00,EUR,Low,French Consumer Spending m/m,,0.4%,0.2%,0.1%
2024-04-30 00:30:00,,EUR,Low,French Flash GDP q/q,,0.2%,0.1%,0.1%
2024-04-30 01:00:00,01:00:00,EUR,Low,German Import Prices m/m,,0.4%,0.1%,-0.2%
2024-04-30 01:00:00,,EUR,Low,German Retail Sales m/m,,1.8%,1.3%,-1.9%
2024-04-30 01:45:00,01:45:00,EUR,Low,French Prelim CPI m/m,,0.5%,0.5%,0.2%
2024-04-30 02:00:00,02:00:00,CHF,Low,KOF Economic Barometer,,101.8,102.1,100.4
2024-04-30 02:00:00,,EUR,Low,Spanish Flash GDP q/q,,0.7%,0.4%,0.7%
2024-04-30 02:55:00,02:55:00,EUR,Low,German Unemployment Change,,10K,7K,6K
2024-04-30 03:00:00,03:00:00,EUR,Low,Italian Prelim GDP q/q,,0.3%,0.1%,0.1%
2024-04-30 03:00:00,,EUR,Low,German Prelim GDP q/q,,0.2%,0.1%,-0.5%
2024-04-30 03:30:00,03:30:00,GBP,Low,M4 Money Supply m/m,,0.7%,0.4%,0.6%
2024-04-30 03:30:00,,GBP,Low,Mortgage Approvals,,61K,61K,60K
2024-04-30 03:30:00,,GBP,Low,Net Lending to Individuals m/m,,1.8B,1.7B,3.1B
2024-04-30 04:00:00,04:00:00,EUR,Medium,Core CPI Flash Estimate y/y,,2.7%,2.6%,2.9%
2024-04-30 04:00:00,,EUR,Medium,CPI Flash Estimate y/y,,2.4%,2.4%,2.4%
2024-04-30 04:00:00,,EUR,Low,Italian Prelim CPI m/m,,0.2%,0.3%,0.0%
2024-04-30 04:00:00,,EUR,Low,Prelim Flash GDP q/q,,0.3%,0.1%,0.0%
2024-04-30 07:30:00,07:30:00,CAD,High,GDP m/m,,0.2%,0.3%,0.5%
2024-04-30 07:30:00,,USD,High,Employment Cost Index q/q,,1.2%,1.0%,0.9%
2024-04-30 08:00:00,08:00:00,USD,Medium,S&P/CS Composite-20 HPI y/y,,7.3%,6.7%,6.6%
2024-04-30 08:00:00,,USD,Low,HPI m/m,,1.2%,0.1%,-0.1%
2024-04-30 08:45:00,08:45:00,USD,Medium,Chicago PMI,,37.9,44.9,41.4
2024-04-30 09:00:00,09:00:00,USD,High,CB Consumer Confidence,,97.0,104.0,103.1
2024-04-30 16:00:00,16:00:00,NZD,Low,RBNZ Financial Stability Report,,,,
2024-04-30 17:45:00,17:45:00,NZD,High,Employment Change q/q,,-0.2%,0.3%,0.4%
2024-04-30 17:45:00,,NZD,High,Unemployment Rate,,4.3%,4.3%,4.0%
2024-04-30 17:45:00,,NZD,Low,Labor Cost Index q/q,,0.8%,0.8%,1.0%
2024-04-30 00:00:00,00:00:00,CNY,Non,Bank Holiday,,,,
2024-04-30 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,49.6,49.9,49.9
2024-04-30 20:00:00,20:00:00,NZD,Medium,RBNZ Gov Orr Speaks,,,,
2024-05-01 00:00:00,00:00:00,CHF,Non,Bank Holiday,,,,
2024-05-01 01:00:00,01:00:00,GBP,Low,Nationwide HPI m/m,,-0.4%,0.1%,-0.2%
2024-05-01 00:00:00,00:00:00,EUR,Non,French Bank Holiday,,,,
2024-05-01 00:00:00,00:00:00,EUR,Non,German Bank Holiday,,,,
2024-05-01 00:00:00,00:00:00,EUR,Non,Italian Bank Holiday,,,,
2024-05-01 01:30:00,01:30:00,AUD,Low,Commodity Prices y/y,,-11.6%,,-14.9%
2024-05-01 03:30:00,03:30:00,GBP,Low,Final Manufacturing PMI,,49.1,48.7,48.7
2024-05-01 04:03:00,04:03:00,GBP,Low,10-y Bond Auction,,4.37|3.1,,4.01|3.3
2024-05-01 07:15:00,07:15:00,USD,High,ADP Non-Farm Employment Change,,192K,179K,208K
2024-05-01 08:30:00,08:30:00,CAD,Low,Manufacturing PMI,,49.4,,49.8
2024-05-01 08:45:00,08:45:00,USD,High,Final Manufacturing PMI,,50.0,49.9,49.9
2024-05-01 09:00:00,09:00:00,USD,High,ISM Manufacturing PMI,,49.2,50.0,50.3
2024-05-01 09:00:00,,USD,High,JOLTS Job Openings,,8.49M,8.68M,8.81M
2024-05-01 09:00:00,,USD,Medium,ISM Manufacturing Prices,,60.9,55.5,55.8
2024-05-01 09:00:00,,USD,Low,Construction Spending m/m,,-0.2%,0.3%,0.0%
2024-05-01 00:00:00,00:00:00,USD,Low,Wards Total Vehicle Sales,,15.7M,15.7M,15.5M
2024-05-01 09:30:00,09:30:00,USD,Low,Crude Oil Inventories,,7.3M,-2.3M,-6.4M
2024-05-01 13:00:00,13:00:00,USD,High,Federal Funds Rate,,5.50%,5.50%,5.50%
2024-05-01 13:00:00,,USD,High,FOMC Statement,,,,
2024-05-01 13:30:00,13:30:00,USD,High,FOMC Press Conference,,,,
2024-05-01 15:15:00,15:15:00,CAD,High,BOC Gov Macklem Speaks,,,,
2024-05-01 17:45:00,17:45:00,NZD,Low,Building Consents m/m,,-0.2%,,15.9%
2024-05-01 18:50:00,18:50:00,JPY,Low,Monetary Base y/y,,2.1%,1.7%,1.6%
2024-05-01 18:50:00,,JPY,Low,Monetary Policy Meeting Minutes,,,,
2024-05-01 00:00:00,00:00:00,CNY,Non,Bank Holiday,,,,
2024-05-01 20:30:00,20:30:00,AUD,Low,Building Approvals m/m,,1.9%,3.5%,-0.9%
2024-05-01 20:30:00,,AUD,Low,Goods Trade Balance,,5.02B,7.19B,6.59B
2024-05-01 23:59:00,23:59:00,JPY,Low,Consumer Confidence,,38.3,39.7,39.5
2024-05-02 01:30:00,01:30:00,CHF,High,CPI m/m,,0.3%,0.1%,0.0%
2024-05-02 01:30:00,,CHF,Low,Retail Sales y/y,,-0.1%,0.2%,0.2%
2024-05-02 02:15:00,02:15:00,EUR,Low,Spanish Manufacturing PMI,,52.2,51.3,51.4
2024-05-02 02:30:00,02:30:00,CHF,Low,Manufacturing PMI,,41.4,45.5,45.2
2024-05-02 02:45:00,02:45:00,EUR,Low,Italian Manufacturing PMI,,47.3,50.3,50.4
2024-05-02 02:50:00,02:50:00,EUR,Low,French Final Manufacturing PMI,,45.3,44.9,44.9
2024-05-02 02:55:00,02:55:00,EUR,Low,German Final Manufacturing PMI,,42.5,42.2,42.2
2024-05-02 03:00:00,03:00:00,EUR,Low,Final Manufacturing PMI,,45.7,45.6,45.6
2024-05-02 03:58:00,03:58:00,EUR,Low,French 10-y Bond Auction,,3.03|2.2,,2.87|1.9
2024-05-02 06:30:00,06:30:00,USD,Low,Challenger Job Cuts y/y,,-3.3%,,0.7%
2024-05-02 07:30:00,07:30:00,CAD,Low,Trade Balance,,-2.3B,1.1B,0.5B
2024-05-02 07:30:00,,USD,High,Unemployment Claims,,208K,212K,208K
2024-05-02 07:30:00,,USD,Low,Prelim Nonfarm Productivity q/q,,0.3%,0.8%,3.5%
2024-05-02 07:30:00,,USD,Low,Prelim Unit Labor Costs q/q,,4.7%,3.6%,0.4%
2024-05-02 07:30:00,,USD,Low,Trade Balance,,-69.4B,-69.5B,-69.5B
2024-05-02 07:45:00,07:45:00,CAD,High,BOC Gov Macklem Speaks,,,,
2024-05-02 09:00:00,09:00:00,USD,Low,Factory Orders m/m,,1.6%,1.6%,1.2%
2024-05-02 09:30:00,09:30:00,USD,Low,Natural Gas Storage,,59B,68B,92B
2024-05-02 00:00:00,00:00:00,JPY,Non,Bank Holiday,,,,
2024-05-02 00:00:00,00:00:00,CNY,Non,Bank Holiday,,,,
2024-05-03 01:45:00,01:45:00,EUR,Low,French Gov Budget Balance,,-52.8B,,-44.0B
2024-05-03 01:45:00,,EUR,Low,French Industrial Production m/m,,-0.3%,0.3%,0.2%
2024-05-03 03:00:00,03:00:00,EUR,Low,Italian Monthly Unemployment Rate,,7.2%,7.5%,7.4%
2024-05-03 03:30:00,03:30:00,GBP,Low,Final Services PMI,,55.0,54.9,54.9
2024-05-03 04:00:00,04:00:00,EUR,Low,Unemployment Rate,,6.5%,6.5%,6.5%
2024-05-03 07:30:00,07:30:00,USD,High,Average Hourly Earnings m/m,,0.2%,0.3%,0.3%
2024-05-03 07:30:00,,USD,High,Non-Farm Employment Change,,175K,238K,315K
2024-05-03 07:30:00,,USD,High,Unemployment Rate,,3.9%,3.8%,3.8%
2024-05-03 08:45:00,08:45:00,USD,Medium,Final Services PMI,,51.3,50.9,50.9
2024-05-03 08:45:00,,USD,Low,FOMC Member Bowman Speaks,,,,
2024-05-03 09:00:00,09:00:00,USD,High,ISM Services PMI,,49.4,52.0,51.4
2024-05-03 19:15:00,19:15:00,USD,Low,FOMC Member Williams Speaks,,,,
2024-05-04 08:20:00,08:20:00,USD,Low,FOMC Member Cook Speaks,,,,
2024-05-05 00:00:00,00:00:00,JPY,Non,Bank Holiday,,,,
2024-05-05 20:00:00,20:00:00,AUD,Low,MI Inflation Gauge m/m,,0.1%,,0.1%
2024-05-05 20:00:00,,NZD,Low,ANZ Commodity Prices m/m,,0.5%,,-1.3%
2024-05-05 20:30:00,20:30:00,AUD,Low,ANZ Job Advertisements m/m,,2.8%,,-1.0%
2024-05-05 20:45:00,20:45:00,CNY,Low,Caixin Services PMI,,52.5,52.5,52.7
2024-05-06 02:00:00,02:00:00,EUR,Low,Spanish Unemployment Change,,-60.5K,-74.5K,-33.4K
2024-05-06 00:00:00,00:00:00,GBP,Non,Bank Holiday,,,,
2024-05-06 02:15:00,02:15:00,EUR,Low,Spanish Services PMI,,56.2,56.0,56.1
2024-05-06 02:45:00,02:45:00,EUR,Low,Italian Services PMI,,54.3,54.7,54.6
