Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2024-01-01 00:00:00,00:00:00,CHF,Non-Economic,Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,EUR,Non-Economic,French Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,EUR,Non-Economic,German Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,EUR,Non-Economic,Italian Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,GBP,Non-Economic,Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,CAD,Non-Economic,Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,USD,Non-Economic,Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,NZD,Non-Economic,Bank Holiday,,,,
2024-01-01 00:00:00,00:00:00,JPY,Non-Economic,Bank Holiday,,,,
2024-01-01 20:45:00,20:45:00,CNY,High,Caixin Manufacturing PMI,,51.5,51.7,51.8
2024-01-02 00:30:00,00:30:00,AUD,Low,Commodity Prices y/y,,-2.1%,,-4.7%
2024-01-02 00:00:00,00:00:00,CHF,Non-Economic,Bank Holiday,,,,
2024-01-02 03:15:00,03:15:00,EUR,Low,Spanish Manufacturing PMI,,47.4,46.9,47.5
2024-01-02 03:45:00,03:45:00,EUR,Low,Italian Manufacturing PMI,,46.2,47.3,47.6
2024-01-02 03:50:00,03:50:00,EUR,Low,French Final Manufacturing PMI,,50.4,50.3,50.3
2024-01-02 03:55:00,03:55:00,EUR,Low,German Final Manufacturing PMI,,43.7,43.4,43.4
2024-01-02 04:00:00,04:00:00,EUR,Low,Final Manufacturing PMI,,46.3,45.9,45.9
2024-01-02 04:30:00,04:30:00,GBP,Medium,Final Manufacturing PMI,,47.5,47.6,47.4
2024-01-02 07:30:00,07:30:00,USD,Low,Challenger Job Cuts y/y,,-25.2%,,-16.0%
2024-01-02 08:30:00,08:30:00,USD,Low,Unemployment Claims,,222K,222K,224K
2024-01-02 09:30:00,09:30:00,CAD,Low,Manufacturing PMI,,50.4,,51.4
2024-01-02 09:45:00,09:45:00,USD,Low,Final Manufacturing PMI,,52.4,52.5,52.5
2024-01-02 00:00:00,00:00:00,JPY,Non-Economic,Bank Holiday,,,,
2024-01-02 19:01:00,19:01:00,GBP,Low,BRC Shop Price Index y/y,,-0.4%,,-0.5%
2024-01-03 02:00:00,02:00:00,GBP,Low,Nationwide HPI m/m,,0.1%,0.0%,0.5%
2024-01-03 00:00:00,00:00:00,EUR,Low,German Prelim CPI m/m,,0.5%,0.4%,-0.8%
2024-01-03 02:45:00,02:45:00,EUR,Low,French Prelim CPI m/m,,0.4%,0.3%,0.1%
