Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2024-08-28 01:00:00,01:00:00,EUR,Low,German GfK Consumer Climate,,-1.8,1.0,-0.2
2024-08-28 01:03:00,01:03:00,EUR,Low,German Import Prices m/m,,0.3%,0.2%,0.6%
2024-08-28 01:45:00,01:45:00,EUR,Low,French Consumer Spending m/m,,0.5%,1.2%,10.3%
2024-08-28 01:45:00,,EUR,Low,French Prelim CPI m/m,,-0.1%,-0.2%,0.4%
2024-08-28 01:45:00,,EUR,Low,French Prelim GDP q/q,,-13.8%,-13.8%,-13.8%
2024-08-28 02:00:00,02:00:00,CHF,Medium,KOF Economic Barometer,,110.2,90.3,86.0
2024-08-28 04:20:00,04:20:00,EUR,Low,Italian 10-y Bond Auction,,1.11|1.3,,1.04|1.4
2024-08-28 07:30:00,07:30:00,CAD,Medium,GDP m/m,,6.5%,5.2%,4.8%
2024-08-28 07:30:00,,USD,Medium,Core PCE Price Index m/m,,0.3%,0.5%,0.3%
2024-08-28 07:30:00,,USD,Medium,Personal Spending m/m,,1.9%,1.5%,6.2%
2024-08-28 07:30:00,,USD,Low,Goods Trade Balance,,-79.3B,-72.3B,-71.0B
2024-08-28 07:30:00,,USD,Low,Personal Income m/m,,0.4%,-0.3%,-1.0%
2024-08-28 07:30:00,,USD,Low,Prelim Wholesale Inventories m/m,,-0.1%,-1.0%,-1.4%
2024-08-28 08:05:00,08:05:00,GBP,High,BOE Gov Bailey Speaks,,,,
2024-08-28 08:45:00,08:45:00,USD,Medium,Chicago PMI,,51.2,51.0,51.9
2024-08-28 09:00:00,09:00:00,USD,Medium,Revised UoM Consumer Sentiment,,74.1,72.8,72.8
2024-08-28 09:00:00,,USD,Low,Revised UoM Inflation Expectations,,3.1%,,3.0%
2024-08-28 00:00:00,00:00:00,All,High,Jackson Hole Symposium,,,,
2024-08-30 18:50:00,18:50:00,JPY,Low,Prelim Industrial Production m/m,,8.0%,5.0%,1.9%
2024-08-30 18:50:00,,JPY,Low,Retail Sales y/y,,-2.8%,-1.7%,-1.3%
2024-08-30 20:00:00,20:00:00,AUD,Low,MI Inflation Gauge m/m,,0.1%,,0.9%
2024-08-30 20:00:00,,CNY,Medium,Manufacturing PMI,,51.0,51.1,51.1
2024-08-30 20:00:00,,CNY,Low,Non-Manufacturing PMI,,55.2,54.0,54.2
2024-08-30 20:00:00,,NZD,Low,ANZ Business Confidence,,-41.8,,-42.4
2024-08-30 20:30:00,20:30:00,AUD,Low,Company Operating Profits q/q,,15.0%,-6.0%,1.4%
2024-08-30 20:30:00,,AUD,Low,Private Sector Credit m/m,,-0.1%,-0.1%,-0.2%
2024-08-31 00:00:00,00:00:00,JPY,Low,Consumer Confidence,,29.3,28.7,29.5
2024-08-31 00:02:00,00:02:00,JPY,Low,Housing Starts y/y,,-11.4%,-12.0%,-12.8%
2024-08-31 00:00:00,00:00:00,EUR,Low,German Prelim CPI m/m,,-0.1%,0.0%,-0.5%
2024-08-31 01:30:00,01:30:00,CHF,Low,Retail Sales y/y,,4.1%,0.9%,3.3%
2024-08-31 02:00:00,02:00:00,EUR,Low,Spanish Flash CPI y/y,,-0.5%,-0.4%,-0.6%
2024-08-31 00:00:00,00:00:00,GBP,Non-Economic,Bank Holiday,,,,
2024-08-31 04:00:00,04:00:00,EUR,Low,Italian Prelim CPI m/m,,0.3%,0.3%,-0.2%
2024-08-31 07:30:00,07:30:00,CAD,Low,Building Permits m/m,,-3.0%,-1.0%,5.7%
2024-08-31 07:30:00,,CAD,Low,IPPI m/m,,0.7%,0.8%,0.2%
2024-08-31 07:30:00,,CAD,Low,RMPI m/m,,3.0%,4.3%,7.5%
2024-08-31 08:00:00,08:00:00,USD,Low,FOMC Member Clarida Speaks,,,,
2024-08-31 17:30:00,17:30:00,AUD,Low,AIG Manufacturing Index,,49.3,,53.5
2024-08-31 17:45:00,17:45:00,NZD,Low,Building Consents m/m,,-4.5%,,0.7%
2024-08-31 18:30:00,18:30:00,JPY,Low,Unemployment Rate,,2.9%,3.0%,2.8%
2024-08-31 18:50:00,18:50:00,JPY,Low,Capital Spending q/y,,-11.3%,-4.0%,0.1%
2024-08-31 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,47.2,46.6,46.6
2024-08-31 20:30:00,20:30:00,AUD,Low,Building Approvals m/m,,12.0%,-0.9%,-4.2%
2024-08-31 20:30:00,,AUD,Low,Current Account,,17.7B,13.0B,9.0B
2024-08-31 20:45:00,20:45:00,CNY,Medium,Caixin Manufacturing PMI,,53.1,52.6,52.8
2024-08-31 22:35:00,22:35:00,JPY,Low,10-y Bond Auction,,0.03|3.2,,0.02|3.6
2024-08-31 23:30:00,23:30:00,AUD,High,Cash Rate,,0.25%,0.25%,0.25%
2024-08-31 23:30:00,,AUD,High,RBA Rate Statement,,,,
2024-09-01 01:30:00,01:30:00,AUD,Low,Commodity Prices y/y,,-9.2%,,-13.7%
2024-09-01 02:15:00,02:15:00,EUR,Low,Spanish Manufacturing PMI,,49.9,52.5,53.5
2024-09-01 02:30:00,02:30:00,CHF,Low,Manufacturing PMI,,51.8,51.4,49.2
2024-09-01 02:45:00,02:45:00,EUR,Low,Italian Manufacturing PMI,,53.1,52.0,51.9
2024-09-01 02:50:00,02:50:00,EUR,Low,French Final Manufacturing PMI,,49.8,49.0,49.0
2024-09-01 02:55:00,02:55:00,EUR,Low,German Final Manufacturing PMI,,52.2,53.0,53.0
