Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2024-06-29 00:00:00,00:00:00,EUR,Non-Economic,Italian Bank Holiday,,,,
2024-06-29 00:00:00,00:00:00,EUR,Low,German Prelim CPI m/m,,0.6%,0.3%,-0.1%
2024-06-29 02:00:00,02:00:00,EUR,Low,Spanish Flash CPI y/y,,-0.3%,-0.9%,-0.9%
2024-06-29 03:30:00,03:30:00,GBP,Low,M4 Money Supply m/m,,2.0%,1.6%,1.5%
2024-06-29 03:30:00,,GBP,Low,Mortgage Approvals,,9K,25K,16K
2024-06-29 03:32:00,03:32:00,GBP,Low,Net Lending to Individuals m/m,,-3.4B,-4.0B,-7.4B
2024-06-29 04:30:00,04:30:00,GBP,Medium,BOE Gov Bailey Speaks,,,,
2024-06-29 07:30:00,07:30:00,CAD,Low,Building Permits m/m,,20.2%,10.3%,-15.4%
2024-06-29 07:30:00,,CAD,Low,IPPI m/m,,1.2%,2.7%,-2.3%
2024-06-29 07:30:00,,CAD,Low,RMPI m/m,,16.4%,29.7%,-13.4%
2024-06-29 07:30:00,,GBP,Low,MPC Member Vlieghe Speaks,,,,
2024-06-29 09:00:00,09:00:00,USD,Medium,Pending Home Sales m/m,,44.3%,18.9%,-21.8%
2024-06-29 18:30:00,18:30:00,JPY,Low,Unemployment Rate,,2.9%,2.8%,2.6%
2024-06-29 18:50:00,18:50:00,JPY,Low,Prelim Industrial Production m/m,,-8.4%,-5.6%,-9.8%
2024-06-29 20:00:00,20:00:00,CNY,High,Manufacturing PMI,,50.9,50.4,50.6
2024-06-29 20:00:00,,CNY,Medium,Non-Manufacturing PMI,,54.4,53.3,53.6
2024-06-29 20:00:00,,NZD,Medium,ANZ Business Confidence,,-34.4,,-33.0
2024-06-29 20:30:00,20:30:00,AUD,Low,Private Sector Credit m/m,,-0.1%,0.1%,0.0%
2024-06-29 21:30:00,21:30:00,AUD,Medium,RBA Deputy Gov Debelle Speaks,,,,
2024-06-30 00:00:00,00:00:00,JPY,Low,Housing Starts y/y,,-12.3%,-15.0%,-12.9%
2024-06-30 01:00:00,01:00:00,GBP,Low,Current Account,,-21.1B,-15.2B,-9.2B
2024-06-30 01:00:00,,GBP,Low,Final GDP q/q,,-2.2%,-2.0%,-2.0%
2024-06-30 01:00:00,,GBP,Low,Revised Business Investment q/q,,-0.3%,0.1%,0.0%
2024-06-30 01:30:00,01:30:00,CHF,Low,Retail Sales y/y,,6.6%,-15.0%,-18.8%
2024-06-30 01:45:00,01:45:00,EUR,Low,French Consumer Spending m/m,,36.6%,30.0%,-19.1%
2024-06-30 01:45:00,,EUR,Low,French Prelim CPI m/m,,-0.1%,0.4%,0.1%
2024-06-30 02:00:00,02:00:00,CHF,Low,KOF Economic Barometer,,59.4,77.0,49.6
