Date,Time,Currency,Impact,Event,Detail,Actual,Forecast,Previous
2021-01-01 00:00:00,00:00:00,CHF,Non,Bank Holiday,,,,
2021-01-01 00:00:00,00:00:00,EUR,Non,French Bank Holiday,,,,
2021-01-01 00:00:00,00:00:00,EUR,Non,German Bank Holiday,,,,
2021-01-01 00:00:00,00:00:00,EUR,Non,Italian Bank Holiday,,,,
2021-01-01 00:00:00,00:00:00,GBP,Non,Bank Holiday,,,,
2021-01-01 00:00:00,00:00:00,CAD,Non,Bank Holiday,,,,
2021-01-01 00:00:00,00:00:00,USD,Non,Bank Holiday,,,,
2021-01-03 00:00:00,00:00:00,NZD,Non,Bank Holiday,,,,
2021-01-03 19:30:00,19:30:00,JPY,Low,Final Manufacturing PMI,,50.0,49.7,49.7
2021-01-03 20:45:00,20:45:00,CNY,Low,Caixin Manufacturing PMI,,53.0,54.7,54.9
2021-01-04 00:30:00,00:30:00,AUD,Low,Commodity Prices y/y,,11.7%,,2.5%
2021-01-04 03:15:00,03:15:00,EUR,Low,Spanish Manufacturing PMI,,51.0,52.6,49.8
2021-01-04 03:30:00,03:30:00,CHF,Low,Manufacturing PMI,,58.0,54.4,55.2
2021-01-04 03:45:00,03:45:00,EUR,Low,Italian Manufacturing PMI,,52.8,53.5,51.5
2021-01-04 03:50:00,03:50:00,EUR,Low,French Final Manufacturing PMI,,51.1,51.1,51.1
2021-01-04 03:55:00,03:55:00,EUR,Low,German Final Manufacturing PMI,,58.3,58.6,58.6
2021-01-04 04:00:00,04:00:00,EUR,Low,Final Manufacturing PMI,,55.2,55.5,55.5
2021-01-04 04:30:00,04:30:00,GBP,Medium,Final Manufacturing PMI,,57.5,57.3,57.3
2021-01-04 04:30:00,,GBP,Low,M4 Money Supply m/m,,0.8%,0.4%,0.7%
2021-01-04 04:30:00,,GBP,Low,Mortgage Approvals,,105K,82K,98K
2021-01-04 04:30:00,,GBP,Low,Net Lending to Individuals m/m,,4.1B,3.0B,3.8B
2021-01-04 00:00:00,00:00:00,All,High,OPEC-JMMC Meetings,,,,
2021-01-04 09:30:00,09:30:00,CAD,Medium,Manufacturing PMI,,57.9,,55.8
2021-01-04 09:45:00,09:45:00,USD,Low,Final Manufacturing PMI,,57.1,56.3,56.5
2021-01-04 10:00:00,10:00:00,USD,Low,Construction Spending m/m,,0.9%,1.1%,1.6%
2021-01-04 10:00:00,,USD,Low,FOMC Member Bostic Speaks,,,,
2021-01-04 10:00:00,,USD,Low,FOMC Member Evans Speaks,,,,
2021-01-04 18:50:00,18:50:00,JPY,Low,Monetary Base y/y,,18.3%,18.0%,16.5%
2021-01-04 19:30:00,19:30:00,AUD,Low,ANZ Job Advertisements m/m,,9.2%,,13.5%
2021-01-05 02:00:00,02:00:00,EUR,Low,German Retail Sales m/m,,1.9%,-2.0%,2.6%
2021-01-05 02:30:00,02:30:00,CHF,Low,CPI m/m,,-0.1%,0.0%,-0.2%
2021-01-05 03:00:00,03:00:00,EUR,Low,Spanish Unemployment Change,,36.8K,30.5K,25.3K
2021-01-05 03:55:00,03:55:00,EUR,Low,German Unemployment Change,,-37K,10K,-40K
2021-01-05 04:00:00,04:00:00,EUR,Low,M3 Money Supply y/y,,11.0%,10.6%,10.5%
2021-01-05 04:00:00,,EUR,Low,Private Loans y/y,,3.1%,3.3%,3.2%
2021-01-05 00:00:00,00:00:00,All,High,OPEC-JMMC Meetings,,,,
2021-01-05 08:30:00,08:30:00,CAD,Low,IPPI m/m,,-0.6%,-0.2%,-0.4%
2021-01-05 08:30:00,,CAD,Low,RMPI m/m,,0.6%,0.9%,0.5%
2021-01-05 09:53:00,09:53:00,NZD,Low,GDT Price Index,,3.9%,,1.3%
2021-01-05 10:00:00,10:00:00,USD,Medium,ISM Manufacturing PMI,,60.7,56.6,57.5
2021-01-05 10:00:00,,USD,Low,ISM Manufacturing Prices,,77.6,66.0,65.4
2021-01-05 00:00:00,00:00:00,USD,Low,Wards Total Vehicle Sales,,16.3M,15.8M,15.6M
2021-01-05 15:45:00,15:45:00,USD,Low,FOMC Member Evans Speaks,,,,
2021-01-05 19:01:00,19:01:00,GBP,Low,BRC Shop Price Index y/y,,-1.8%,,-1.8%
2021-01-05 20:45:00,20:45:00,CNY,Low,Caixin Services PMI,,56.3,58.1,57.8
2021-01-05 22:35:00,22:35:00,JPY,Low,10-y Bond Auction,,0.02|3.4,,0.02|3.4
2021-01-06 00:00:00,00:00:00,JPY,Low,Consumer Confidence,,31.8,32.6,33.7
2021-01-06 00:00:00,00:00:00,EUR,Non,Italian Bank Holiday,,,,
2021-01-06 00:00:00,00:00:00,EUR,Low,German Prelim CPI m/m,,0.5%,0.6%,-0.8%
2021-01-06 02:45:00,02:45:00,EUR,Low,French Prelim CPI m/m,,0.2%,0.4%,0.2%
2021-01-06 03:15:00,03:15:00,EUR,Low,Spanish Services PMI,,48.0,44.5,39.5
2021-01-06 03:45:00,03:45:00,EUR,Low,Italian Services PMI,,39.7,45.0,39.4
2021-01-06 03:50:00,03:50:00,EUR,Low,French Final Services PMI,,49.1,49.2,49.2
2021-01-06 03:55:00,03:55:00,EUR,Low,German Final Services PMI,,47.0,47.7,47.7
2021-01-06 04:00:00,04:00:00,EUR,Low,Final Services PMI,,46.4,47.4,47.3
2021-01-06 04:30:00,04:30:00,GBP,Low,Final Services PMI,,49.4,49.9,49.9
2021-01-06 05:00:00,05:00:00,EUR,Low,PPI m/m,,0.4%,0.2%,0.4%
2021-01-06 05:05:00,05:05:00,GBP,Low,10-y Bond Auction,,0.33|2.9,,0.43|2.7
2021-01-06 05:36:00,05:36:00,EUR,Low,German 10-y Bond Auction,,-0.52|1.6,,-0.57|2.0
2021-01-06 08:15:00,08:15:00,USD,Medium,ADP Non-Farm Employment Change,,-123K,60K,304K
2021-01-06 09:30:00,09:30:00,GBP,High,BOE Gov Bailey Speaks,,,,
2021-01-06 09:45:00,09:45:00,USD,Low,Final Services PMI,,54.8,55.2,55.3
2021-01-06 10:00:00,10:00:00,USD,Low,Factory Orders m/m,,1.0%,0.7%,1.3%
2021-01-06 10:30:00,10:30:00,USD,Low,Crude Oil Inventories,,-8.0M,-2.8M,-6.1M
2021-01-06 14:00:00,14:00:00,USD,High,FOMC Meeting Minutes,,,,
2021-01-06 18:30:00,18:30:00,JPY,Low,Average Cash Earnings y/y,,-2.2%,-0.9%,-0.7%
2021-01-06 19:30:00,19:30:00,AUD,Low,Building Approvals m/m,,2.6%,1.9%,3.3%
2021-01-06 19:30:00,,AUD,Low,Goods Trade Balance,,5.02B,6.45B,6.58B
2021-01-07 02:00:00,02:00:00,EUR,Low,German Factory Orders m/m,,2.3%,-0.6%,3.3%
2021-01-07 02:30:00,02:30:00,CHF,Low,Retail Sales y/y,,1.7%,3.5%,4.3%
2021-01-07 04:00:00,04:00:00,EUR,Low,ECB Economic Bulletin,,,,
2021-01-07 04:30:00,04:30:00,GBP,Low,Construction PMI,,54.6,54.6,54.7
2021-01-07 04:32:00,04:32:00,GBP,Low,Housing Equity Withdrawal q/q,,-7.0B,-7.0B,-9.0B
2021-01-07 05:00:00,05:00:00,EUR,Low,Core CPI Flash Estimate y/y,,0.2%,0.2%,0.2%
2021-01-07 05:00:00,,EUR,Low,CPI Flash Estimate y/y,,-0.3%,-0.2%,-0.3%
2021-01-07 05:00:00,,EUR,Low,Italian Prelim CPI m/m,,0.3%,0.2%,-0.1%
2021-01-07 05:00:00,,EUR,Low,Retail Sales m/m,,-6.1%,-3.4%,1.4%
